wiki_title,wiki_url,area_served,company_type,founded,founders,headquarters,industry,key_people,net_income,num_employees,operating_income,owner,parent,products,revenue,subsidiaries,total_assets,total_equity,traded_as,website
Kenmare Resources,https://en.wikipedia.org/wiki/Kenmare_Resources,,Public,1972; 53 years ago (1972),,"Dublin, Republic of Ireland",Mining,"Andrew Webb, ChairmanMichael Carvill, Managing DirectorTom Hickey, Finance Director",$64.9 million (2024),,$89.2 million (2024),,,,$414.7 million (2024),,"$1,309.3 million (2024)","$1,161.1 million (2024)",LSE: KMREuronext Dublin: KMRISEQ 20 component,kenmareresources.com
University of Leeds,https://en.wikipedia.org/wiki/University_of_Leeds,,Public,,,,,,,,,,,,,,,,,leeds.ac.uk
Mondi,https://en.wikipedia.org/wiki/Mondi,,Public limited company,1967; 58 years ago (1967),,"Weybridge, England, UK",PackagingPaper,Philip Yea (Chairperson)Andrew R. King (CEO),€262 million (2024),"22,000 (2025)",€606 million (2024),,,PulpPaperContainerboardPackaging,"€7,416 million (2024)",,,,LSE: MNDIJSE: MNPFTSE 100 Component,www.mondigroup.com
Pan African Resources,https://en.wikipedia.org/wiki/Pan_African_Resources,,Public,2000; 25 years ago (2000),,"Johannesburg, South Africa",Mining,Keith Spencer (chairman)Cobus Loots (CEO),$140.6 million (2025),,$215.9 million (2025),,,,$540.0 million (2025),,,,LSE: PAF,www.panafricanresources.com
Mölnlycke Health Care,https://en.wikipedia.org/wiki/M%C3%B6lnlycke_Health_Care,,Aktiebolag,"1849, Mölnlycke",,"Gothenburg, Sweden",Medical devices,"Richard Twomey, CEO",,"7,400+",,Investor AB (96%),,,€ 856 million (2009),,,,,www.molnlycke.com
Vedanta Resources,https://en.wikipedia.org/wiki/Vedanta_Resources,Worldwide,Private,22 April 2003 (22 years ago) (2003-04-22) as Angelchange Limited,Anil Agarwal,"London, United Kingdom",Mining,Anil Agarwal(executive chairman)Navin Agarwal(executive vice chairman)Srinivasan Venkatakrishnan(CEO),US$3.01 billion (2025),,US$4.538 billion (2025),Anil Agarwal,,"copper, aluminum, zinc, lead, gold, iron ore, pig iron, metallurgical coke and Oil and gas exploration, power",US$18.220 billion (2025),Vedanta LimitedAnglo American (20%)Konkola Copper Mines,US$25.671 billion (2025),US$2.915 billion (2025),LSE: VEDNYSE: VEDL,www.vedantaresources.com
Zimbabwe Premier Soccer League,https://en.wikipedia.org/wiki/Zimbabwe_Premier_Soccer_League,,,1980; 45 years ago (1980),,,,,,,,,,,,,,,,
RHI Magnesita,https://en.wikipedia.org/wiki/RHI_Magnesita,,Naamloze vennootschap,1908,,"Vienna, Austria",Refractories,Herbert Cordt (Chairman)de:Stefan Borgas (CEO),€154 million (2024),"15,000 (2024)",€242 million (2024),,,,"€3,487 million (2024)",,,,LSE: RHIMFTSE 250 component,www.rhimagnesita.com/
Rio Tinto (corporation),https://en.wikipedia.org/wiki/Rio_Tinto_(corporation),Worldwide,Dual-listed company,29 March 1873; 152 years ago (1873-03-29),,"London, EnglandMelbourne, Australia",Metals and mining,Dominic Barton(chairman)Simon Trott(chief executive),US$11.574 billion (2024),"60,000 (2024)",US$16.491 billion (2024),,,"Iron ore, bauxite, alumina, aluminium, copper, molybdenum, gold, diamonds, uranium, titanium dioxide, borates, salt, talc",US$53.658 billion (2024),,US$102.786 billion (2024),US$57.965 billion (2024),ASX: RIOLSE: RIONYSE: RIOFTSE 100 Index componentS&P/ASX 200 component,www.riotinto.com
"Savannah, Georgia","https://en.wikipedia.org/wiki/Savannah,_Georgia",,,,,,,,,,,,,,,,,,,savannahga.gov
Scapa Society,https://en.wikipedia.org/wiki/Scapa_Society,,,,Richardson Evans,,,,,,,,,,,,,,,
SolGold,https://en.wikipedia.org/wiki/SolGold,Ecuador,Public limited company,,,"Zug, Switzerland",Copper miningGold mining,Dan Vujcic (CEO)Chris Stackhouse (CFO)Ryan Wilson (Company Secretary) Chris Robinson (VP Corporate Affairs & Communications),,,,,,,,,,,LSE: SOLG,www.solgold.com
South32,https://en.wikipedia.org/wiki/South32,,Public,"May 18, 2015; 10 years ago (2015-05-18)",,"Perth, Western Australia",MetalsMining,Karen Wood (chair)Graham Kerr (CEO),US$ 1.5 billion (2021),,Arabic,,,AluminaAluminiumCopperManganeseMetallurgical coalLeadNickelSilverZinc,US$ 6.3 billion (2025),,,,ASX: S32,www.south32.net
The Sunrise Project,https://en.wikipedia.org/wiki/The_Sunrise_Project,,Nonprofit,,,"Sydney, Australia",,,,,,,,,,,,,,https://sunriseproject.org/
Synthomer,https://en.wikipedia.org/wiki/Synthomer,,Public,1863,,"London, England",Chemicals,Caroline Johnstone (Chair)Michael Willome (CEO),£(66.7) million (2024),"5,000 (2023)",£50.4 million (2024),,,,"£1,986.8 million (2024)",,,,LSE: SYNT,www.synthomer.com
Tata Steel,https://en.wikipedia.org/wiki/Tata_Steel,Worldwide,Public,"26 August 1907; 118 years ago (1907-08-26) at Jamshedpur, Bihar (now in Jharkhand), India",Jamsetji TataDorabji Tata,"Mumbai, Maharashtra, India18°55′54″N 72°49′58″E﻿ / ﻿18.9316°N 72.8327°E﻿ / 18.9316; 72.8327",Steel Iron,T. V. Narendran(MD & CEO),"₹3,174 crore (US$380 million) (FY2025)","78,321 (2024)","₹9,268 crore (US$1.1 billion) (FY2025)",,Tata Group,Steel Long steel products Structural steel Wire products Steel casing pipes Household goods,"₹220,083 crore (US$26 billion) (FY2025)",Tata Steel UKTata Steel NetherlandsTata Steel ThailandJamshedpur FCTata Robins Fraser Ltd.Mjunction,"₹279,395 crore (US$33 billion) (FY2025)","₹91,353 crore (US$11 billion) (FY2025)",BSE: 500470NSE: TATASTEELBSE SENSEX constituentNSE NIFTY 50 constituent,www.tatasteel.com
Trans-Siberian Orchestra,https://en.wikipedia.org/wiki/Trans-Siberian_Orchestra,,,,,,,,,,,,,,,,,,,trans-siberian.com
Victrex,https://en.wikipedia.org/wiki/Victrex,,Public,1993,,"Victrex Technology Centre, Hillhouse International, Thornton Cleveleys, Lancashire, FY5 4QD, England, UK",Polymers,Larry Pentz(Chairman) Jakob Óskar Sigurðsson (Chief Executive),£15.8 million (2024),"1,000 (2025)",£45.8 million (2024),,,,£291.0 million (2024),,,,LSE: VCTFTSE 250 component,Victrex.com
Worthington Enterprises,https://en.wikipedia.org/wiki/Worthington_Enterprises,Global,Public company,1955; 70 years ago (1955),John H. McConnell,"Columbus, Ohio, United States",Building productsConsumer products,"Joseph Hayek, president & chief executive officerColin Souza, chief financial officerJimmy Bowes, president, building productsSteven Caravati, president, consumer products",,"6,000 (including joint ventures)",,,,"Cylinders for heating, cooling, cooking, construction, water; HVAC components; outdoor living and celebrations products; tools",$1.2 billion net sales (FY 2025),,,,NYSE: WOR,worthingtonenterprises.com
Teck Resources,https://en.wikipedia.org/wiki/Teck_Resources,,Public,8 April 1913 (1913-04-08),,"Vancouver, British Columbia, Canada",Metals and Mining,"Sheila A. Murray, Board ChairJonathan H. Price, CEOShehzad Bharmal, EVP and COO",C$283 million (2024),"13,000+ (2023)",,,,"Copper, Zinc",C$9.1 billion (2024),,C$47.0 billion (2024),C$27.1 billion (2024),"NYSE: TECKTSX: TECK.A, TECK.BS&P/TSX 60 component",www.teck.com
Xtract Resources,https://en.wikipedia.org/wiki/Xtract_Resources,ChileSouth AfricaMozambique,Public,2004 (2004),,"London, United Kingdom",Mining,"Colin Bird, CEOFiona J Henderson, Board member and Shareholder",,,,,,,$24.7 million,,,,AIM: XTR,xtractresources.com
Yamana Gold,https://en.wikipedia.org/wiki/Yamana_Gold,,Subsidiary,"March 17, 1994",,"Toronto, Ontario, Canada",Mining,"Victor Bradley (CEO, 1994–2003)Peter Marrone (CEO, 2003–18)Daniel Racine (CEO, 2018-current)",,"5,372",,,Pan American Silver,"Gold, silver",$1.612 billion (2019) $1.799 billion (2018) $1.804 billion (2017,Canadian Malartic CorporationMinera Yamana Chile SpAEstelar Resources S.A. (Argentina)Jacobina Mineração e Comercio Ltd. (Brazil),,,TSX: YRINYSE: AUY,www.yamana.com
Zotefoams,https://en.wikipedia.org/wiki/Zotefoams,"UK, USA, Japan, Europe, Asia (principal market)",PLC Public limited company,1921,,"London, England",Technical foam manufacture,"Lynn Drummond, (Chair)Ronan Cox, (CEO)",£(2.8) million (2024),,£18.1 million (2024),,,"Polyolefin foams, PVDF foams, nylon foams, TPE foams",£147.8 million (2024),,,,LSE: ZTF,www.zotefoams.com
Aluminum Corporation of China Limited,https://en.wikipedia.org/wiki/Aluminum_Corporation_of_China_Limited,,Public; state-owned,"2001; 24 years ago (2001)(Beijing, China)",,"Beijing, China",Metals,"Xiong Weiping (CEO), Ge Honglin (Chairman of the Board)",US$ 877 million (2023),"124,995 (2023)",,Aluminum Corporation of China (35.78%)General Public,,Aluminum and copper products,US$ 63.6 billion (2023),,US$ 86.9 billion (2023),,SSE: 601600 (A share)SEHK: 2600 (H share)CSI A50,
Angang Steel,https://en.wikipedia.org/wiki/Angang_Steel,China,listed,1997,,"Anshan, Liaoning, People's Republic of China",Steel,Old Chairman: Mr. Zhang Xiaoyang Liu Current Chairman: Yao Lin,,,,,Anshan Iron and Steel Group,Steel,,,,,SZSE: 000898SEHK: 347,Angang Steel Company Limited
Aowei Church of Our Lady of the Holy Rosary,https://en.wikipedia.org/wiki/Aowei_Church_of_Our_Lady_of_the_Holy_Rosary,,,,,,,,,,,,,,,,,,,
China BlueChemical,https://en.wikipedia.org/wiki/China_BlueChemical,People's Republic of China,State-owned enterprise,2006,,"Dongfang, Hainan, People's Republic of China",Nitrogenous fertilizer manufacturing and sales,Chairman: Mr. Wu Mengfei,,,,,CNOOC,,,,,,,China BlueChemical Limited
China Gold International Resources Corporation,https://en.wikipedia.org/wiki/China_Gold_International_Resources_Corporation,,Public,,,"Vancouver, British Columbia, Canada",Mining,,US$65.3 million (2024),,,,,"Gold, copper, silver, molybdenum",US$756.6 million (2024),,,,"TSX: CGG, SEHK: 2099",chinagoldintl.com
China Hongqiao Group,https://en.wikipedia.org/wiki/China_Hongqiao_Group,,Public,1994,Zhang Shiping,"Hong Kong (registered); Binzhou, Shandong (principal operations)",Aluminium,Zhang Bo (chairman and chief executive),"10,496,100,000 Malaysian ringgit (2020)","42,445 (2020)","19,355,200,000 renminbi (2020)",,Shandong Weiqiao Pioneering Group,,"86,145,130,000 renminbi (2020)",,"181,532,700,000 renminbi (2020)",,SEHK: 1378,en.hongqiaochina.com
New Oriental,https://en.wikipedia.org/wiki/New_Oriental,,Public,1993,,"No.6 Haidian Zhongjie, Haidian District, Beijing (100080)",,"Yu Minhong (CEO) (also known as ""Michael Yu"")",,"over 17,700 (2016)",,,,,,,,,NYSE: EDUSEHK: 9901,www.neworiental.org
Chongqing Iron and Steel Company,https://en.wikipedia.org/wiki/Chongqing_Iron_and_Steel_Company,People's Republic of China,State-owned enterprise,1938,,"Chongqing, People's Republic of China",Iron and steel manufacturing,Chairman: Mr. Dong Lin,,,,,,Iron and steel,,,,,,Chongqing Iron and Steel Company Limited
CMOC Group Limited,https://en.wikipedia.org/wiki/CMOC_Group_Limited,Worldwide,Public; partly state-owned,1969; 56 years ago (1969),,"Luanchuan, Luoyang, Henan, People's Republic of China",Metal and Phosphate mining,Yuan Honglin (Chairman)Sun Ruiwen (CEO),CN¥13.53 billion (2024),,CN¥32.39 billion (2024),Cathay Fortune (30.19%) CATL (24.68%),,"Copper, Molybdenum, Tungsten, Cobalt, Niobium and Phosphate related products",CN¥213.03 billion (2024),IXM,,,SSE: 603993SEHK: 3993CSI A50,en.cmoc.com
CNNC International Limited,https://en.wikipedia.org/wiki/CNNC_International_Limited,China,Public company,"September 19, 2002",,"Hong Kong, China",Nuclear,Du Yunbin (Chairman),"- HKD 220,711,000 (2015)",15 (as at 31 December 2015),,,China National Nuclear Corporation,Uranium,"HKD 57,755,000",,,,SEHK: 2302,www.cnncintl.com
CWT (company),https://en.wikipedia.org/wiki/CWT_(company),145 countries,Privately held company,1994; 31 years ago (1994),,"Minneapolis, Minnesota, United States",Travel management company,"Patrick Andersen, President & CEO",,"18,000",,,,,US$1.5 billion,,,,,www.mycwt.com
"Dragon, Utah","https://en.wikipedia.org/wiki/Dragon,_Utah",,,,,,,,,,,,,,,,,,,
LG Chem,https://en.wikipedia.org/wiki/LG_Chem,,Public,2009; 16 years ago (2009),,"LG Twin Towers, 128, Yeoui-daero, Yeongdeungpo-gu, Seoul, South Korea",Chemicals,,KRW 2.195 trillion (2022),"20,000+ (2022)","1,798,159,000 won (2020)",LG Corporation (33%),,Raw materialsChemicalsIT and electronics materialsEnergy solutions,KRW 51.865 trillion (2022),LG Energy Solution (81%),"41,388,894,000 won (2020)",,KRX: 051910KRX: 051915,LG Chem
Greenheart Group,https://en.wikipedia.org/wiki/Greenheart_Group,,Public,2010,,Hong Kong,ForestryWood Products,"Judson Martin (Chairman, CEO)",,>700 (2013),,,,"Lumber, Logs",HK$495.2 million 2012,,,,SEHK: 94,http://www.greenheartgroup.com
GreenTech Automotive,https://en.wikipedia.org/wiki/GreenTech_Automotive,Mississippi,,"2009; 16 years ago (2009) in Virginia, U.S.",Charlie Wang,"Tunica County, Mississippi, U.S.",Automotive,Charlie Wang (CEO),,,,Charlie Wang,,electric cars,,,,,,www.wmgta.com
Shanghai Airlines,https://en.wikipedia.org/wiki/Shanghai_Airlines,,,"December 30, 1985; 39 years ago (1985-12-30)",,"No. 2550 Hongqiao Road, Changning, Shanghai",,Zhou Chi (President)Fan Hongxi (CEO),,,,,,,,,,,,www.ceair.com
Wen Wei Po,https://en.wikipedia.org/wiki/Wen_Wei_Po,,daily newspaper; state media,9 September 1948,,"Aberdeen, Hong Kong",,,,,,Liaison Office of the Central Government,,,,,,,,www.wenweipo.com
Fung Ying Seen Koon,https://en.wikipedia.org/wiki/Fung_Ying_Seen_Koon,,,,,,,,,,,,,,,,,,,
Infinity Ward,https://en.wikipedia.org/wiki/Infinity_Ward,,Subsidiary,May 2002; 23 years ago (May 2002),Grant CollierJason WestVince Zampella,"Woodland Hills, Los Angeles, California, US",Video games,Mark Grigsby (co-studio head)Jack O'Hara (co-studio head)Daniel Nelson (CTO)Joel Emslie (art director),,250+ (2015),,,Activision (2003–present),Call of Duty series,,,,,,infinityward.com
Waste Connections,https://en.wikipedia.org/wiki/Waste_Connections,,Public,"1997; 28 years ago (1997) in Folsom, California",,"The Woodlands, Texas",Waste management,Ronald J. Mittelstaedt (president and CEO),,"19,998 (2021)",,,,,US$4.2 billion (2021),Waste Connections of CanadaR360 Environmental Solutions,,,TSX: WCNS&P/TSX 60 component,wasteconnections.com
IRC-Galleria,https://en.wikipedia.org/wiki/IRC-Galleria,,,,,,,,,,,Herdifier Oy,,,,,,,,
Jiangxi Copper,https://en.wikipedia.org/wiki/Jiangxi_Copper,China and international,State-owned enterprise,1979,,"Nanchang, Jiangxi, China",Metals and Mining,Chairman: Zheng Gaoqing,US$970 million (2024),"32,746 (2024)",,,Jiangxi Copper Corporation,"Copper, Sulfuric acid, Gold, Silver, Platinum, Palladium, Selenium, Tellurium, Rhenium, Molybdenum, Lead",US$72.5 billion (2024),,US$31.2 billion (2024),,,www.jxcc.com
Jinchuan Group,https://en.wikipedia.org/wiki/Jinchuan_Group,,State-owned enterprise,1958,,"Gansu, People's Republic of China",,,,,,,,,,,,,SEHK: 2362,www.jinchuan-intl.com/en/
Lee & Man Paper,https://en.wikipedia.org/wiki/Lee_%26_Man_Paper,People's Republic of China,Privately held company,1994,,"Dongguan, Guangdong, People's Republic of China",Papermaking,Chairman: Raymond Lee Man-chunCEO: Lee Man-bun,,"40,000",,,,"Cardboard, Tissue, Paper products",$3B,Ralison Intl.,,,,Lee & Man Paper Manufacturing Limited
Lee Kee Group,https://en.wikipedia.org/wiki/Lee_Kee_Group,"Provides non-ferrous metals, customized alloy, assurance and testing services, technical consultancy",,15 June 1947,,"16 Dai Fat Street, Tai Po Industrial Estate, New Territories, Hong Kong",,"Mr. Chan Chak Hong (founder)Mr. Chan Shu Cheong Mr. Chan Pak Chung (chair)Ms. Chan Yuen Shan, Clara (vice-chair & CEO)",,,,,,"Base metals zinc, aluminium, nickel, copper as well as zinc alloy, aluminium alloy, stainless steel, electroplating chemicals and a variety of non-ferrous metals likes lead-free solder wire",,Lee Kee Metal Company Ltd. (HK) Lee Fung Metal Company Ltd. (HK) Lee Sing Materials Company Ltd. (HK) Lee Yip Metal Products Company Ltd. (HK) Essence Metal (Asia) Company Ltd. (HK)Promet Metals Testing Laboratory Ltd. (HK) Promet Consultancy Company Ltd. (HK)LKG Elite (Shenzhen) Company Ltd. (PRC) LKG Elite (Wuxi) Company Ltd. (PRC) LKG Elite (Guangzhou) Company Ltd. (PRC) Genesis Alloy (Ningbo) Ltd. (PRC) Mega International Resources Company Ltd. Taiwan Branch (Taiwan) LKG Singapore (Private) Ltd. (Singapore)LKG (Malaysia) SDN. BHD.,,,Stock code： 0637,http://www.leekeegroup.com
Lingbao Gold,https://en.wikipedia.org/wiki/Lingbao_Gold,"People's Republic of China, Kyrgyzstan",State-owned enterprise,2002,,"Lingbao, Henan, People's Republic of China",Gold mining,Chairman: Mr. Chen Jianzheng,RMB 294.03 million (2023),"3,915 (2023)",RMB 581.65 million (2023),,,,,,,,,Lingbao Gold Group Company Ltd.
Nanjing Iron and Steel Company,https://en.wikipedia.org/wiki/Nanjing_Iron_and_Steel_Company,China,public,1958 (predecessor)18 March 1999 (1999-03-18) (date of incorporation),Nanjing Iron and Steel Group,"Nanjing, China",steel manufacturing,,CN¥03.200 billion (2017),,,Fosun International &Nanjing Iron and Steel Group(via Nangang United)(43.47%),Nangang United,,CN¥37.601 billion (2017),,CN¥37.735 billion (2017),CN¥11.575 billion (2017),SSE: 600282,
The New York Times Company,https://en.wikipedia.org/wiki/The_New_York_Times_Company,Worldwide,Public,"September 18, 1851; 174 years ago (1851-09-18)",Henry Jarvis RaymondGeorge Jones,"The New York Times Building, New York City, United States",Newspapers,A. G. Sulzberger (chairman)Meredith Kopit Levien (president and CEO),US$294 million (2024),"c. 5,900 (2024)",US$351 million (2024),,,The New York TimesThe New York Times International EditionOther media properties,US$2.59 billion (2024),,US$2.84 billion (2024),US$1.93 billion (2024),NYSE: NYT (Class A)S&P 400 component,nytco.com
Nine Dragons Paper Holdings Limited,https://en.wikipedia.org/wiki/Nine_Dragons_Paper_Holdings_Limited,"China, United States and Vietnam",Public,(1994),,"Hong Kong, China",Papermaking,"Mrs. Zhang Yin, (Chairwoman)",US$ 333.4 Million (2010),,,,,"Containerboard, Printing / Writing Paper",US$ 2.7 Billion (2010),ND Paper,,,SEHK: 2689,ndpaper.com/
Prosper Marketplace,https://en.wikipedia.org/wiki/Prosper_Marketplace,United States,Private,"California, USA (2005)",,"San Francisco, CA","Financial technology, Peer-to-peer lending","David Kimball, CEO; Ron Suber, President Emeritus",US$ -106.46 million (2023),404,,,,Unsecured Personal LoansHome Equity LoanHome equity line of creditCredit Card,US$ 137.70 million (2023),,US$ 755.73 million (2023),,,www.prosper.com
United States Agency for International Development,https://en.wikipedia.org/wiki/United_States_Agency_for_International_Development,,,,,"Ronald Reagan BuildingWashington, D.C., U.S.",,,,,,,,,,,,,,usaid.gov
Reliance Industries,https://en.wikipedia.org/wiki/Reliance_Industries,Worldwide,Public,1958; 67 years ago (1958),Dhirubhai Ambani,"Mumbai, Maharashtra, India",Conglomerate,Mukesh Ambani (Chairman & Managing Director),"₹81,309 crore (US$9.6 billion) (2025)","347,362 (2024)",₹1.83 lakh crore (US$22 billion) (2025),Ambani family (51%),,PetroleumNatural gasChemicalPetrochemicalOil refiningRetailTelecommunicationsMediaEntertainment,₹9.98 lakh crore (US$120 billion) (2025),List Jio Platforms (67.03%)Reliance RetailJio-bp (51%)JioStar (16.34%)Network18 Group (56.89%)DEN Networks (78.62%)Hathway (71.95%)Alok Industries (75%)Reliance FoundationIndiawin SportsRelicordReliance Institute of Life SciencesReliance Industrial Infrastructure (45.43%)Sterling and Wilson Renewable EnergyReliance New Energy Ltd.Sikka Ports & Terminals LimitedRenewable Energy Corporation,₹19.50 lakh crore (US$230 billion) (2025),₹10.09 lakh crore (US$120 billion) (2025),BSE: 500325NSE: RELIANCELSE: RIGDBSE SENSEX constituentNSE NIFTY 50 constituent,www.ril.com
Shanghai Petrochemical,https://en.wikipedia.org/wiki/Shanghai_Petrochemical,China,Public; State-owned enterprise,1972,,"Jinshan District, Shanghai, China",Chemical industry,Chairman: Mr. Rong Guangdao,,,,,Sinopec,"ethylene, fiber, resin, plastics",,,,,SEHK: 338SSE: 600688,Shanghai Petrochemical
Tiangong International,https://en.wikipedia.org/wiki/Tiangong_International,Worldwide,Public company,1984,,"Danyang, Jiangsu, People's Republic of China","Steel, Tool steel, Titanium alloys",Chairman: Mr. Zhu Xiaokun,RMB 671.6 million (2021),,,,,"High-speed steel, die steel, cutting tools, titanium alloys",RMB 5.74 billion (2021),,,,SEHK: 826,www.tggj.cn
Xingye Alloy Materials,https://en.wikipedia.org/wiki/Xingye_Alloy_Materials,Global,Public company,1998,,"Cixi, Ningbo, Zhejiang, China","Copper processing, Alloy materials",Hu Changyuan (Chairman),HK$255.42 million (2024),"1,757 (2024)",,,,"Copper plates and strips, tin phosphorous bronze, brass, lead frame, nickel silver",HK$8.53 billion (2024),,,,SEHK: 505,xingyealloy.com
Xinjiang Xinxin Mining Industry Company,https://en.wikipedia.org/wiki/Xinjiang_Xinxin_Mining_Industry_Company,China and abroad,State-owned enterprise,2005,,"Fuyun County, Xinjiang, People's Republic of China",Mining,Chairman: Yuan Ze,,,,,,"Nickel, Copper, Lithium, Beryllium, Tantalum, Niobium, Gold, Cobalt, Silver, Platinum, Palladium",,,,,,Xinjiang Xinxin Mining
Zhaojin Mining,https://en.wikipedia.org/wiki/Zhaojin_Mining,People's Republic of China,Public,2004,,"Zhaoyuan, Shandong, People's Republic of China",Gold mining,Chairman: Mr. Lu Dongshang,RMB 1.05 billion (2023),"approx. 8,000 (2023)",RMB 2.8 billion (2023),,Zhaojin Group,"Gold, Silver, Copper, other precious metals",RMB 13.2 billion (2023),,,,,Zhaojin Mining Industry Company Limited
Zijin Mining,https://en.wikipedia.org/wiki/Zijin_Mining,Worldwide,Public; partly state-owned,1986; 39 years ago (1986) as Shanghang Mineral Company,,"Shanghang, Longyan, Fujian, People's Republic of China",Mining,Chairman: Mr. Chen Jinghe,"CN¥32,100,000,000",,,,,"Gold, Copper, Zinc","CN¥303,600,000,000 (FY 2024)",,,,SSE: 601899SEHK: 2899CSI A50,www.zijinmining.com
ADM Capital,https://en.wikipedia.org/wiki/ADM_Capital,,Private,1998; 27 years ago (1998),Chris BotsfordDenys FirthRobert Appleby,Hong Kong,Investment management,Neil Harvey (Chairman),,,,,,Private creditDistressed debtPrivate equity,,ADM Capital FoundationCibus,,,,admcapital.com
AFC Energy,https://en.wikipedia.org/wiki/AFC_Energy,,Public,2006 (2006),,"Cranleigh, Surrey, England",Alternative energy,Gary Bullard (Chairman)Adam Bond (CEO),,120+,,,,Fuel cells,£4 million,,,,LSE: AFC,www.afcenergy.com
Argos (retailer),https://en.wikipedia.org/wiki/Argos_(retailer),United Kingdom,Subsidiary,1973; 52 years ago (1973),Richard Tompkins,"London, England",Retail,Simon Roberts (CEO),,"7,731 (2024)",£38.6 million (2024),Sainsbury's,Argos Holdings Limited,Consumer goods,£4.23 billion (2024),,,,,argos.co.uk
Standard Oil,https://en.wikipedia.org/wiki/Standard_Oil,,Business trust (1882–1892) New Jersey Holding Company (1899–1911),"January 2, 1882 (1882-01-02)","John D. Rockefeller,Co-Founder & Chairman Stephen V. Harkness,Co-Founder & Initial investor Henry M. Flagler,Co-Founder & Senior executive William A. Rockefeller,Co-Founder, Senior executive & New York Representative Samuel Andrews,Co-Founder, Chemist & Inaugural Chief of Refining Operations","Cleveland, Ohio (1870–1885) New York City, New York (1885–1911)",Oil and gas,"John D. Archbold, Vice President Charles Pratt, Senior Executive Henry H. Rogers, Senior Executive Oliver H. Payne, Senior Executive Daniel O'Day, Senior Executive Jabez A. Bostwick, Senior Executive & First Treasurer William G. Warden, Senior Executive Jacob Vandergrift, Senior Executive",,"60,000 (1909)",,,,Fuellubricantpetrochemicals,,,,,,
Bisichi Mining,https://en.wikipedia.org/wiki/Bisichi_Mining,,Public Limited Company,"October 13, 1910; 115 years ago (1910-10-13)",,"London, W1, United Kingdom",Mining,Sir Michael Heller (Chairman),,,,,,,,,,,LSE: BISI,bisichi.co.uk
Aker BP,https://en.wikipedia.org/wiki/Aker_BP,,Allmennaksjeselskap,2016,,"Fornebu, Norway",Oil and gas,,,"2,400",US$8.9 billion (2022),"Aker ASA (40%), BP (30%)",,Petroleum,US$13.0 billion (2022),,US$32.8 billion (2022),US$37.5 billion (2022),Oslo Stock Exchange: AKRBP,www.akerbp.com/en/
Cairn India,https://en.wikipedia.org/wiki/Cairn_India,"India, Sri Lanka and South Africa",Private,2006; 19 years ago (2006),,"ASF Center Tower A, 62-363, Jwala Mill Road, PHASE IV, Udyog Vihar, Sector 18, Gurugram, Haryana, 122016, India",Oil and gas,Prachur Sah(deputy CEO) Navin Agarwal (chairman),"₹−9,431.88 crore (US$−1.1 billion) (2016)",1001–5000,"₹−9,434.63 crore (US$−1.1 billion) (2016)",,,oil and gas,"₹10,633.99 crore (US$1.3 billion) (2016)",List 1. Cairn India Holdings Limited 2. Cairn Energy Holdings Limited 3. Cairn Energy Hydrocarbons Limited 4. Cairn Exploration (No.7) Limited 5. Cairn Exploration (No.6) Limited 6. Cairn Exploration (No.4) Limited 7. Cairn Exploration (No.2) Limited 8. Cairn Energy Gujarat Block 1 Limited 9. Cairn Energy Discovery Limited 10. Cairn Petroleum India Limited 11. Cairn Energy Cambay B.V. 12. Cairn Energy India West B.V. 13. Cairn Energy Gujarat B.V. 14. Cairn Energy India Holdings B.V. 15. Cairn Energy Group Holdings B.V. 16. Cairn Energy Netherlands Holdings B.V. 17. Cairn Energy Gujarat Holding B.V. 18. Cairn Energy India West Holding B.V. 19. Cairn Energy Cambay Holding B.V. 20. Cairn Energy Australia Pty Limited 21. CEH Australia Limited 22. Cairn Energy Asia Pty Limited 23. Cairn Energy Investments Australia Pty Limited 24. Wessington Investments Pty Limited 25. Sydney Oil Company Pty Limited 26. Cairn Energy India Pty Limited 27. CEH Australia Pty Limited 28. CIG Mauritius Private Limited 29. CIG Mauritius Holdings Private Limited 30. Cairn Lanka (Pvt) Limited,"₹56,495.57 crore (US$6.7 billion) (2016)","₹48,792.54 crore (US$5.8 billion) (2016)",,www.cairnindia.com
Ceres Power,https://en.wikipedia.org/wiki/Ceres_Power,,Public,2001,,"Horsham, England, UK",Alternative Energy,"Warren Finegold, Chair Phil Caldwell, CEO",£(28.3) million (2024),,£(31.3) million (2024),,,,£51.9 million (2024),,,,LSE: CWR,www.ceres.tech
China National Petroleum Corporation,https://en.wikipedia.org/wiki/China_National_Petroleum_Corporation,Worldwide,State-owned enterprise,1988; 37 years ago (1988),,"Dongcheng District, Beijing, China",Oil and gas,Dai Houliang (chairman)Hou Qijun (president),CN¥180.4 billion (2022),"1,090,345 (2022)",CN¥298.5 billion (2022),,,"Petroleum, natural gas, and other petrochemicals",CN¥3.400 trillion (2022),PetroChina,CN¥4.395 trillion (2022),CN¥2.508 trillion (2022),,www.cnpc.com.cn/en/
Empyrean Technology,https://en.wikipedia.org/wiki/Empyrean_Technology,,Public; State-owned enterprise,"May 26, 2009; 16 years ago (2009-05-26)",Liu Weiping,"Beijing, China",SemiconductorsSoftware,Liu Weiping (Chairman)Yang Xiaodong (CEO),CN¥200.35 million (2023),"1,023 (2023)",,,,,CN¥1.01 billion (2023),,CN¥5.54 billion (2023),CN¥4.78 billion (2023),SZSE: 301269,www.empyrean.com.cn
