title,release_year,artists,genres,region
Good Form,2018.0,Nicki Minaj; Lil Wayne,Hip Hop,Worldwide
Πάφα Πούφα Το Τσιγάρο,2008.0,Ημισκούμπρια,Hip Hop,Greece
Crazyalbum,2020.0,Ohtlikjuss,Hip Hop,Estonia
Happy Verse Day,,Channel Live; KRS-One; Mad Lion,Hip Hop,US
The Best Of Tha Heart Of Tha Streetz Vol. 1 & 2 (Chopped & Screwed),2006.0,"B.G.; B. Gizzle; Michael ""5000"" Watts",Hip Hop,Ukraine
Gouda Remix,2016.0,Maffew Ragazino,Hip Hop,US
Take It Off,,JRDN,Hip Hop,
Shades Of Hip Hop:  CDS Controlled Dangerous Substance,1998.0,Various,Hip Hop,US
Tha Greentape Volume 2,2012.0,King Keil,Hip Hop,Germany
Connichiwa,2019.0,Connard,Hip Hop,Belgium
Etwoaschen Tussenin,2004.0,De Nihilisten,Hip Hop,Belgium
Trottoaren (Nytt Stuk),1990.0,Just D,Hip Hop,Sweden
Chronicles The Missing Pages 2k4,2005.0,Ugolye,Hip Hop,US
Analyze That,2006.0,Smoke Johnson,Hip Hop,US
Check The Rhime,1991.0,A Tribe Called Quest,Hip Hop,UK & Europe
1st Round Draft Picks,2003.0,Swishahouse; Mike Jones (2); Magno,Hip Hop,US
The Resurrection - King Of NY,2003.0,Nasir Jones,Hip Hop,US
Chemical Threats Phase 3,2023.0,Mission Infect,Hip Hop,US
Пиратка,2006.0,Nonamerz,Hip Hop,Russia
Diamond In The Ruff,2012.0,Freeway,Hip Hop,US
So Wie Ich Bin Mixtape,2005.0,Prinze Low,Hip Hop,Germany
Hypercore Pt2,2024.0,Goodnightm4rk,Hip Hop,Worldwide
The L Word,2008.0,Charles Hamilton (2),Hip Hop,
Der Grözzte Weizze Hurensohn,2006.0,King-$laym; Murda Ron,Hip Hop,Germany
Αλητόσκυλο,2023.0,Λόγος Τιμής,Hip Hop,Greece
The Big Bang Theory,2003.0,Big Bo$$,Hip Hop,US
"Sincerely, Detroit",2020.0,Apollo Brown,Hip Hop,US
No Way Out,1997.0,Puff Daddy & The Family,Hip Hop,Ukraine
HarveyDent,2021.0,HarveyDent (2),Hip Hop,Canada
Lotnia,2025.0,Nazwa Robocza,Hip Hop,Poland
The Mixtape,,Dj Darrell D,Hip Hop,US
Whatcha Know About 'Em,1999.0,B-Doe Da Hustla,Hip Hop,US
V-I,2024.0,Ardi (11); Wisi,Hip Hop,Italy
Barbie In Wonderland,2010.0,Nicki Minaj,Hip Hop,US
The Silent Ones,2011.0,Miggy Manacles,Hip Hop,UK
Podróż Zwana Życiem,2016.0,O.S.T.R.,Hip Hop,Poland
Lambs To The Slaughter EP,2004.0,Kamanchi Sly,Hip Hop,UK
When U Snooze U Lose,2002.0,Who Da Doc,Hip Hop,US
Στην Ίδια Φυλακή,2011.0,People On Track,Hip Hop,Greece
Dragged & Chopped Pt. 6 (All Hard! No Soft!),,DJ Black (11),Hip Hop,US
Monkey Work,2007.0,Various,Hip Hop,US
Life In 1472,1998.0,Jermaine Dupri,Hip Hop,Canada
Tomahawk Chop,1992.0,The Duke (18),Hip Hop,US
Robię Swoje 2,2001.0,Various,Hip Hop,Poland
"Inima, O Lună Plină",2019.0,Dspekt,Hip Hop,Romania
L'Heure Est Proche,2004.0,Say C,Hip Hop,France
Verwarring,,"Neo, Manu & Naboo",Hip Hop,Netherlands
Just Drippin,2020.0,Young Row,Hip Hop,US
Suckaz In Da Mud '94 EP,2013.0,Da Hoodz Uv Mizbhavya,Hip Hop,UK
H-Town Chronic 12,2014.0,Lil C,Hip Hop,US
Diary Of A Sinner: 1st Entry,2001.0,Petey Pablo,Hip Hop,Japan
Deep Evening,1999.0,Aura (22),Hip Hop,
Loyal To The Game,,2Pac,Hip Hop,US
Krox,2025.0,Wox (2); Krey (2),Hip Hop,Germany
Dog Day,2022.0,Gen (44),Hip Hop,France
Anticipating My Shit,1995.0,K-Ball (2),Hip Hop,US
The Comeback Kid (The Re-Up Vol. 3),2006.0,T.O.R.O.,Hip Hop,US
Instrumentals Volume 5,,Da Poet (2),Hip Hop,Turkey
The Strain EP,2016.0,Alpha Omega (15),Hip Hop,Canada
SMC-Contra-Coop. 97,1997.0,SMC Contra Coop,Hip Hop,Germany
Nighty Night,1996.0,L.O.C. (11),Hip Hop,US
Art Of Tha Devil,2006.0,Donnie Darko,Hip Hop,US
Cultivation Compilation II,2010.0,Various,Hip Hop,US
One To Grow On,1992.0,UMC's,Hip Hop,Netherlands
The Calling Live,2005.0,Hilltop Hoods,Hip Hop,Australia
Transgresja,2022.0,Feno (8),Hip Hop,Poland
Untouchable,2003.0,DRW (3),Hip Hop,US
Hello Nasty = ハロー・ナスティ,1998.0,Beastie Boys; Beastie Boys,Hip Hop,Japan
"No Teníamos Nada, Pero Éramos Felices",2022.0,Gera MX,Hip Hop,
Different,2023.0,Ghetto Queen,Hip Hop,Greece
The Illegalist,2018.0,Big Lo (3),Hip Hop,US
Heartsick,2013.0,Psymun,Hip Hop,USA & Canada
Stereo Typical,2011.0,Rizzle Kicks,Hip Hop,
I Gotta Get Mine Yo!,1992.0,Chubb Rock,Hip Hop,Germany
Nothing But Flava Vol. 1,,DJ Classic,Hip Hop,US
Come Take A Journey Thru Your Mind,1999.0,B-Hard (3),Hip Hop,US
Idiots Savant,2004.0,Tongteelt,Hip Hop,Netherlands
Glazed Donuts,2000.0,Deerflesh,Hip Hop,US
36 Wu-Strumentals Part 2,2005.0,DJ Storm (14),Hip Hop,US
Hitler Wears Hermes I,2017.0,WestsideGunn,Hip Hop,US
Színésznő 2,2015.0,Rico (59); C2SH,Hip Hop,Hungary
Exotic Kingdoms,2015.0,Fifsuntzu,Hip Hop,US
Tragedy / Reason For  Rhyme,1997.0,RZA; Eightball & M.J.G.,Hip Hop,US
Ready To Wreck,1993.0,Figure Uv Speech,Hip Hop,US
Cali Factorz 2 ,2002.0,Various,Hip Hop,US
Зараз Або Ніколи,2022.0,Lizzzard,Hip Hop,
Riding High,1997.0,Uncutt,Hip Hop,US
The Beautiful Type,2015.0,Rozewood,Hip Hop,US
Anonymous,2017.0,Maneeyak,Hip Hop,US
Cripwalks (with Pashanim & Monk),2020.0,BHZ; Pashanim; Monk (7),Hip Hop,Germany
Missing Children,2011.0,Veks,Hip Hop,US
Slow Motion,2004.0,Juvenile (2),Hip Hop,Europe
R U Ready,1997.0,Salt 'N' Pepa,Hip Hop,
Batter Up,2001.0,Nelly; St. Lunatics,Hip Hop,UK
Mugshot Music: Preloaded [Remixes],2012.0,Showbiz & A.G.,Hip Hop,US
Shake A Lil' Somethin',1996.0,The 2 Live Crew,Hip Hop,Germany
WAM,2019.0,ASAP Ferg; MadeinTYO,Hip Hop,Worldwide
Sniper Beats ,2015.0,Lewis Parker,Hip Hop,UK
C'mon Baby,1993.0,Funkmaster Flex; The Flip Squad,Hip Hop,US
100% Rap Vol. 3,1997.0,Various,Hip Hop,Poland
Tout Baigne,2023.0,Ol'Zico,Hip Hop,France
Fully Focused - The Mixtape,2006.0,Fokis,Hip Hop,US
"Of Mics & Men, Towers & Trees",2014.0,Iron Tys,Hip Hop,Australia
Essences,2007.0,Essences (3),Hip Hop,France
Ur Girl (Original Version),2015.0,Modenine,Hip Hop,Nigeria
Chase Yir'sel!,2014.0,Stanley Odd,Hip Hop,
Weak EP,2017.0,OceanDub,Hip Hop,Japan
Russian & Best In Da R’N’B Style,2006.0,Various,Hip Hop,Russia
What's The Deal,1990.0,Master P,Hip Hop,US
The 90's Mutant Digga Turtle,2017.0,Vinylangelo,Hip Hop,Germany
Serving It Right,2001.0,X. Ivy Vines,Hip Hop,Canada
Disrepectful Mixtape Vol 1,,Victorious Newman,Hip Hop,US
Present Aftermath Classics,,Dr. Dre,Hip Hop,US
Ready 2 Go,2017.0,G13,Hip Hop,US
启点,2012.0,光光,Hip Hop,China
Uden For Rækkevidde,2021.0,Isbjerg,Hip Hop,Denmark
Unforgettable (Remake),2020.0,Only U (2),Hip Hop,Japan
"Livin' Comfortable, But Not Good / We Country",,Ole-E,Hip Hop,US
I Want Her Out,2013.0,Az Izz,Hip Hop,US
Banned In The USA,1991.0,Luke; The 2 Live Crew,Hip Hop,Portugal
Escape (I Need A Break),1985.0,Whodini,Hip Hop,US
Kkkill The Fetus,1993.0,Esham,Hip Hop,US
Das Batalhas Pra Guerra,2015.0,Helibrown,Hip Hop,Brazil
Cordura Abandonó El Nido...,2022.0,Lirika Inverza,Hip Hop,Mexico
Serious,2005.0,Nas,Hip Hop,US
SoEssereIrritante,2011.0,Lappa,Hip Hop,Italy
Flamingo Gimpp,2007.0,Sumach,Hip Hop,US
You Know Me,2007.0,2 Pistols; Ray J,Hip Hop,US
Nooooo Cuss Words,1992.0,Mr. Fattman,Hip Hop,US
Молодая ,2020.0,Temny,Hip Hop,
Destructive Force,2008.0,Mc Ap,Hip Hop,Mexico
Rush,2009.0,Porno (6); Kid Colt; Stina Wäppling,Hip Hop,Sweden
Ride Big,,Co-D Fendants,Hip Hop,US
The Mighty Highs & Lowly Lows ,2022.0,Sign One,Hip Hop,Worldwide
Move With Me / You're Never Alone,,Boom P,Hip Hop,US
Visible Monsters,2013.0,Iceboy Locke,Hip Hop,Italy
Dump Gawd​:​Ultra Instinct,2018.0,ThaGodFahim,Hip Hop,US
19 Naughty II,1993.0,Naughty By Nature,Hip Hop,Germany
The Doobie Brothers Project,,The Doobies,Hip Hop,US
Hunnidz Up,2022.0,FORCEGNG,Hip Hop,
310 2 313,2021.0,Domo (20),Hip Hop,
Chicken Scratch Volume 24,,Various,Hip Hop,US
Strength To Strength,2023.0,Headie One; K Trap,Hip Hop,UK
Platinum Masterpiece,2003.0,Street Lord'z; Chedda Boyz,Hip Hop,US
Powrót Z Drogi Donikąd,2023.0,Siwers,Hip Hop,Poland
Promise Land,2017.0,James Gardin,Hip Hop,US
Never Sleep Again,2015.0,Suarez (8),Hip Hop,Italy
Le Tien C'Est Le Tien,1999.0,Les Fabulous Trobadors; Imhotep,Hip Hop,France
Presents: Hip Hop Disciples 9,2005.0,730 (2),Hip Hop,US
Costas de Ferro,2015.0,Mundo Escuro,Hip Hop,Portugal
Waiting To Inhale,2000.0,Dosia (2),Hip Hop,US
The Starter,2009.0,Scor-Zay-Zee,Hip Hop,UK
Raprotokol,2002.0,Various,Hip Hop,Turkey
Instru Mental Vol. 3,2006.0,Cannibal Smith,Hip Hop,France
Rapmusig,2014.0,Zitral,Hip Hop,Switzerland
Rappers Rapp Theme,1982.0,Rappers Rapp Group,Hip Hop,US
De La Soul Is Dead,2019.0,De La Soul,Hip Hop,US
Energy,2020.0,Waterboy Elchapo,Hip Hop,South Africa
Xenophile Phonologen,1995.0,Cheech & Iakone,Hip Hop,Germany
Tomahawk,1999.0,Da West Indies Krew,Hip Hop,France
President,2014.0,Nena Kapone,Hip Hop,US
Un Monde Meilleur,2004.0,Layone,Hip Hop,France
Olio: The Mixtape,2006.0,T3 (2),Hip Hop,US
Headbanger's Ball,,Desert Dwellas,Hip Hop,
Loyalty,2020.0,Lil Zay Osama,Hip Hop,Worldwide
Galen,2010.0,Ison & Fille,Hip Hop,Sweden
Crime Link,2003.0,Crime Link,Hip Hop,US
Stop Breathing,2022.0,Roddy Ricch,Hip Hop,Worldwide
Cocaine,,Simken Heights,Hip Hop,US
One: In The Chamber,2013.0,Salaam Remi,Hip Hop,US
#FULLCOUNT,2011.0,Count Bass D,Hip Hop,US
Pure Water,2019.0,DJ Mustard; Migos,Hip Hop,Worldwide
Kick It Live From 9 To 5,1983.0,Sugarhill Gang,Hip Hop,Sweden
If U Were Mine,1989.0,The U-Krew,Hip Hop,USA & Canada
Geen Gangster Vol. 1,2013.0,Migiboss,Hip Hop,Netherlands
Sound Maneuvers 17th Anniversary Mix,2022.0,DJ Mitsu The Beats; DJ Mu-R,Hip Hop,Japan
Drug Music,2014.0,Non Phixion,Hip Hop,
Instrumentals At Work,1999.0,Anonymous (4); AntiMC,Hip Hop,US
#HELLBOY The Mixtape Vol. 1,2014.0,Illest Uminati,Hip Hop,
No Limit Mixtape,1997.0,Wigsoo,Hip Hop,Italy
Weapon Of Mass Production,2014.0,Weapon E.S.P.,Hip Hop,US
Royale Coloquinte Flush,2000.0,"Samm; Le ""A""",Hip Hop,France
Rogue Agents,2013.0,The Immortals Project,Hip Hop,US
Mamma / Gatuslang,1998.0,Ken Ring,Hip Hop,Sweden
Nagu Vaataks Pilvi,2022.0,Põhjamaade hirm,Hip Hop,Estonia
Mesmerize / All I Need / 2 Good To Be True / In Your Arms Tonight ,,Ja Rule; Fat Joe; Deborah Cox; TLC,Hip Hop,
Bring It Boy,,Cory Lee,Hip Hop,Japan
AYE-AMS,2014.0,AYE-AMS,Hip Hop,US
Rocksteady Anniversary Jam Vol 3,1996.0,Various,Hip Hop,US
This Story Begins,,Pro X,Hip Hop,Netherlands
Don't Fight The Feeling,1989.0,Chilla Frauste,Hip Hop,US
VSA (Valley Scores Again),,D Valley,Hip Hop,US
Tha Golden Era,2001.0,The Incredible Zig,Hip Hop,US
Strings Attached (Pale Blue Dot / Friend Like You),2022.0,Bliss n Eso; Brisbane Symphony Orchestra,Hip Hop,Australia
Zombie Love Kensington Paradise,2024.0,Skrilla (11),Hip Hop,UK
Concrete Jungle 2,2012.0,Frenchie (7),Hip Hop,US
KoneeCHEEewa!!! ,,Nump; Tree Honda,Hip Hop,US
More Than Just A Pretty Face,1991.0,MC Peaches,Hip Hop,Indonesia
North By Northwest: Solid Ground,2005.0,Soulstice (2),Hip Hop,US
"Adijo Stari, Kaki Scenarij",2007.0,Tekochee Kru,Hip Hop,Slovenia
Run's House,1988.0,Run-DMC,Hip Hop,Germany
The Treacherous Three,1984.0,Treacherous Three,Hip Hop,Scandinavia
Don't Fuck Up The Past,2005.0,Deadarm,Hip Hop,US
 Blunted Volume 2,2003.0,DJ Butter,Hip Hop,US
Marshall Middle Fall 2021,2021.0,The Bridge Music Project,Hip Hop,US
Book Of Life Vol. 1,,King (47),Hip Hop,US
Dirty Knife ,2022.0,Pro Dillinger,Hip Hop,Czech Republic
Greenbacks / Go With The Flow,1997.0,MF Doom,Hip Hop,US
V8T,2018.0,Kali (15); Flvwlxss,Hip Hop,Poland
I'm Gettin Money,2007.0,Sosa (26); Jim Jones (2),Hip Hop,US
En Dag,2003.0,Ken Ring,Hip Hop,Sweden
Machete Mixtape 4,2021.0,Machete Crew,Hip Hop,Italy
Toss It Up,1996.0,2Pac,Hip Hop,US
X-Mix Urban Series 72,,Various,Hip Hop,US
Fame (Remix),,GZA; The Genius,Hip Hop,US
Sampler 5,2021.0,187 Strassenbande,Hip Hop,Germany
Unreleashed,,DJ LBR,Hip Hop,US
Rap Dudes,2020.0,Freshman Woes,Hip Hop,
The Soundtrack,2009.0,Lazy Grey,Hip Hop,Australia
Классика,2011.0,G-Style Mafia,Hip Hop,Russia
Wee Seed Records Presents...,2004.0,Deebo; Gypsyluv; Wee Seed Records,Hip Hop,US
Everybody Knows Everything,2013.0,infO Gates,Hip Hop,US
Decisión,1999.0,Tiro de Gracia,Hip Hop,Chile
Mind Of A Porosvillan,2009.0,Travieso G.,Hip Hop,
40,2016.0,Quentin40,Hip Hop,Italy
JBG3 (New Year Edition),2017.0,Kollegah; Farid Bang,Hip Hop,Germany
You Should Really Know,2004.0,The Pirates (4),Hip Hop,Europe
Smiling Faces,1990.0,Big Lady K,Hip Hop,US
Doin' It,2005.0,LL Cool J,Hip Hop,UK
On And On (Can We Go On),1989.0,B.V.S.M.P.,Hip Hop,Scandinavia
3P Volume 5,2020.0,Cas Metah; AG Flux,Hip Hop,US
Morena,2024.0,Anti (53),Hip Hop,Greece
Anthems Hip-Hop IV,2014.0,Various,Hip Hop,UK
Are You Ready?,1999.0,T-Lee,Hip Hop,US
Asozialer Mobshyt 1.5,2018.0,Dio Drama; Nino (35),Hip Hop,Germany
Drug Deala Muzik,2009.0,G Boi,Hip Hop,US
☆ZФФM☆,2011.0,Noah23,Hip Hop,Canada
Do Something,1995.0,Eusebe,Hip Hop,UK
M.F.S.B.,1988.0,Well Red,Hip Hop,UK
To Be An (Arab) Suite I ,2024.0,Narcy,Hip Hop,Canada
WHO,2020.0,大支,Hip Hop,Taiwan
The Streets Made Me,2020.0,Jaggla (2),Hip Hop,Japan
Hit The Floe / Hennessy & XTC / Project Chick,2000.0,Dirty (4); B.G.; Cash Money Millionaires,Hip Hop,US
Ta Yeul Encore,,KC L.M.N.O.P.,Hip Hop,Canada
Brainfood,2006.0,DJ IQ,Hip Hop,UK
Advanced Chemistry,2016.0,Beginner,Hip Hop,Germany
Hip Hop Love Soul,2004.0,Nicci Cheeks,Hip Hop,UK
Melf Tape,2021.0,melfiano,Hip Hop,Belgium
Unlock It,2021.0,Abra (5),Hip Hop,
Stephan,2006.0,Stephan (13),Hip Hop,US
Def Before Dishonor,,Beastie Boys,Hip Hop,US
Gangsta Rap Meets Hip Hop Legends,2008.0,Various,Hip Hop,US
Gangsta Fever,2019.0,YoungBoy Never Broke Again,Hip Hop,Worldwide
Funky Stupid Dope Shit 90's Hiphop Flava Joints - Uptown Funky Mix Vol. 1,2012.0,DJ Milky,Hip Hop,Japan
Across The Globe,2000.0,DJ Yas,Hip Hop,Japan
Papers Spiders featuring Conway and Kool G. Rap,2024.0,Bless Picasso,Hip Hop,US
Money Train,2011.0,Young Butta,Hip Hop,US
Get That Money,2006.0,Mike Watts (6); Bizzy Bone,Hip Hop,US
Jetzt Da,2005.0,ET (14),Hip Hop,Switzerland
Stone Cold Rhymin',,Young MC,Hip Hop,Worldwide
Classics Party Tracks Vol.03,,Various,Hip Hop,
Nineteen Naughty Nine - Nature's Fury,1999.0,Naughty By Nature,Hip Hop,Ukraine
Come Into My House,1990.0,Queen Latifah,Hip Hop,US
In Real Life,2023.0,bambi (89),Hip Hop,Poland
Mysterys Extinction,2019.0,Mystery's Extinction,Hip Hop,Europe
Demos (1991-2007),2009.0,The Mantis Chapter,Hip Hop,
Третий,2015.0,АК-47,Hip Hop,Russia
I Ain't F***n With You Devils,2014.0,Mr. Cap; Herb (18),Hip Hop,US
Fly,2003.0,Breez Evahflowin',Hip Hop,US
Styl Życia G'N.O.J.A.,2017.0,Peja,Hip Hop,Poland
Belong To The World,2015.0,Oddisee,Hip Hop,US
Avant La Fête,2022.0,TK (39),Hip Hop,Europe
Crack On Wax Vol. 225,,Various,Hip Hop,US
Untitled,,S.W.A.G.G.E.R (Street Wise American Gangsta Getting Eternal Revenue),Hip Hop,US
Scream,2008.0,Timbaland; Keri Hilson; Nicole Scherzinger,Hip Hop,Australasia
"Throwbacks, Throwups & Throwaways",2016.0,Crayzdom,Hip Hop,Canada
The District,2007.0,H.I.S.D. (Hueston Independent Spit District),Hip Hop,US
Sampler Disc,1997.0,Mack 10,Hip Hop,US
Droopy,2018.0,King Grubb,Hip Hop,UK
United East Asia,2021.0,Ill.Sugi,Hip Hop,Japan
It's Our Time Vol.II,2003.0,6 Dozen Family,Hip Hop,US
Where They At !!!,,Lil 'Ke; Nitti; Don Vito (2),Hip Hop,US
The Ruler's Back 2006,2006.0,Big Mike (6),Hip Hop,US
Living Like A Dope Fiend,,M.C. Doe,Hip Hop,US
I Had To,2016.0,Red Ru,Hip Hop,US
Sports Weekend (As Clean As They Wanna Be Part II),1991.0,The 2 Live Crew,Hip Hop,Canada
444,2022.0,Luclover,Hip Hop,
No Better Than This,,Won-G,Hip Hop,US
Business Never Personal,2005.0,No Play (2),Hip Hop,US
Brainwash,2000.0,DJ JS-1; DJ Ody-Roc,Hip Hop,Germany
Bygget kun 4 læsehest,2020.0,Emilio Hestepis,Hip Hop,Denmark
Festival Of Fright,2018.0,The Underground Avengers; Alla Xul Elu,Hip Hop,US
Ein Neuer Tag Wird Kommen / Rhyme Teknics,2000.0,Future Rock,Hip Hop,Germany
Sleepwalk Unwakeable,2002.0,Poor Concept,Hip Hop,Finland
Business As Usual,2013.0,Haystak; Jelly Roll (3),Hip Hop,US
Leira,2018.0,MC Tyson,Hip Hop,Japan
Booty Shorts,1996.0,Krazy-K (2),Hip Hop,US
Dom Tittar När Jag Dansar,2001.0,Kaah,Hip Hop,Sweden
Hustlenomics,2007.0,Yung Joc,Hip Hop,Japan
Mega,2013.0,Hary (10); Funk Monster (2),Hip Hop,Poland
Östersönder,2013.0,Johan Alander,Hip Hop,Sweden
United,2019.0,Caravan (14); Mud (10); Yamato Haze,Hip Hop,Japan
Vinterdepress,2018.0,Macky (7),Hip Hop,Sweden
Flagellant,2017.0,Versace Henrik,Hip Hop,Finland
The Contract EP,2022.0,Dr. Dre,Hip Hop,USA & Canada
MCEO,2008.0,Talib Kweli,Hip Hop,US
Jason Mask,2024.0,Bukshot,Hip Hop,US
Kibun,2019.0,DJ Yasa,Hip Hop,Japan
Yellow Tape,2024.0,Key Glock,Hip Hop,Worldwide
Oloi Rotane,2018.0,MG (41),Hip Hop,Greece
Dominos,2019.0,Nigas JR,Hip Hop,France
Vasárnap Reggel ,1997.0,Animal Cannibals,Hip Hop,Hungary
Goldener Sommer EP,2005.0,Libertador,Hip Hop,Germany
"Sing Me A Lullaby, My Sweet Temptation",2023.0,$uicideboy$,Hip Hop,US
Prelude For Fall ,2014.0,Zet (3),Hip Hop,Turkey
The Shuffle International Mixtape,,Taepit Connection,Hip Hop,Sweden
Quickie,1992.0,Full Force,Hip Hop,US
Rebuke,2023.0,KaytrAminé; Aminé; Kaytranada,Hip Hop,Worldwide
Toolshed,2000.0,Toolshed,Hip Hop,Canada
Atari,2021.0,ReptileLegit,Hip Hop,
Fortified Live / 2000 Seasons,1997.0,Reflection Eternal,Hip Hop,US
Word of Zuby,2021.0,Zuby (2),Hip Hop,UK
6 Tracks de Trop,2000.0,C-Drik,Hip Hop,Canada
RAPTURE,2021.0,Ruff Swami,Hip Hop,
Duck Remixxes,2001.0,DJ Duck (2),Hip Hop,US
Rudeway Or Da Highway,2001.0,Rudeway,Hip Hop,US
All Gangsta,2016.0,Tiny Lon Don,Hip Hop,US
Gute Neuigkeiten,2022.0,Nico Suave,Hip Hop,Germany
We Luv New-York,2011.0,Faf Larage; Akhenaton,Hip Hop,France
Recovery,2023.0,Quando Rondo,Hip Hop,Worldwide
C'est La Loi,2018.0,Naza (4),Hip Hop,France
Killdrummy,2019.0,Mozzy,Hip Hop,US
Lean On Me,1986.0,Club Nouveau,Hip Hop,US
Heaven Bound,2004.0,X-Caliber (6),Hip Hop,US
Capela,2015.0,Makala (2),Hip Hop,Switzerland
Holla,,Drag-On,Hip Hop,US
Славное Время,2019.0,Khalif (7); Adam (107),Hip Hop,
Sycadelic,2004.0,Cike,Hip Hop,USA & Canada
I Used To Love H.E.R.,2023.0,Common,Hip Hop,UK
Rap Rabotam,2013.0,SiGi (4),Hip Hop,Macedonia
All The Man That I Need,1998.0,Shernette May,Hip Hop,UK & Europe
I Need To Leave V1 &V2,2025.0,Marlon DuBois,Hip Hop,
Smokey's Homies Remix EP,2013.0,Urthboy,Hip Hop,Australia
Kuoleman Bustaaja,2003.0,Eino Antiwäkki,Hip Hop,Finland
"Welcome 2 Da ""O"" Zone",2007.0,Mista O.K.I.,Hip Hop,Japan
This House Will Rock,1986.0,Sam The Beast,Hip Hop,US
The Great Adventures Of Slick Rick,1988.0,Slick Rick,Hip Hop,Canada
On Nait Seul... On Meurt Seul...,2004.0,HNS,Hip Hop,Belgium
Nie Na Sprzedaż,2013.0,Aro (3),Hip Hop,Poland
Sunset,2021.0,Kirk Knight,Hip Hop,US
 It's Lil Ray People!!! Volume 3 ,2009.0,Lil Ray (2),Hip Hop,US
Demo Tape I,1987.0,Extra F/X; The Extra F/X Crew,Hip Hop,US
1 Nutt 2 Many,2001.0,Chuck Nutt,Hip Hop,US
Antilop Sa Party,2004.0,Antilop Sa,Hip Hop,France
Eigen Makelij Mixtape Volume 3 (EMIII) - Nieuwe Orde,2011.0,Various,Hip Hop,Belgium
Elvitted A Szívemet,2013.0,Majka; Curtis (20),Hip Hop,Hungary
Snart Hemma,2007.0,Ken Ring,Hip Hop,Sweden
"47,XX + 21",2014.0,Various,Hip Hop,UK
The Warm Up,2016.0,Fortune (38); Future (4),Hip Hop,US
Wordz Of Wizdom,2004.0,Cucizy,Hip Hop,US
Juice (Know The Ledge),,Eric B. & Rakim,Hip Hop,US
City Of The Lost,2001.0,Various,Hip Hop,US
Fresh Kill,2020.0,Metal Carter,Hip Hop,Italy
Jau-tā-jums,2002.0,Gustavo (6),Hip Hop,Latvia
Tales From The First Dynasty,,Kurupt,Hip Hop,US
S.V.P / Le Biz / Apercu,1998.0,Projet H24,Hip Hop,France
Vol.3... Life And Times Of S. Carter,1999.0,Jay-Z,Hip Hop,Europe
Antidote,2007.0,Benzino,Hip Hop,US
Seven 13 Volume 5: C.O.D. - Cash On Delivery,2011.0,Lil' Keke,Hip Hop,US
Tuna Bambika,2018.0,Lanie Banks,Hip Hop,"USA, Canada & Europe"
Nigga Please,1999.0,Ol' Dirty Bastard,Hip Hop,Germany
Situation,2021.0,Lil Squeaky,Hip Hop,
How To Gag A Maggot,2019.0,How To Gag A Maggot,Hip Hop,US
Лирика,2010.0,Юра Неплохой; Dino MC47,Hip Hop,Russia
Line Em' Up,2002.0,Freeway; Young Chris,Hip Hop,US
Money Changes Everything,2017.0,03 Greedo,Hip Hop,Worldwide
Calibration of an Altered Mind,2018.0,Jay Stone (2),Hip Hop,USA & Europe
Outta Pocket,2023.0,Lil Magic (2),Hip Hop,US
Liquid Cocaine,2003.0,Lifestyle (11),Hip Hop,US
Phenomenon,1998.0,LL Cool J,Hip Hop,France
Het Virus Verspreidt,2003.0,BSE (2),Hip Hop,Netherlands
チョージとシーエヌ Pt.2,2024.0,SMITH-CN; Chouji,Hip Hop,Japan
Dynasty Way / Party,2004.0,D.Y. Clic,Hip Hop,US
BQE (Brooklyn - Queens EP),1997.0,Various,Hip Hop,US
Koga's Trap,2019.0,Maybe Watson,Hip Hop,Canada
Follow The Lidl 3,2023.0,Erma,Hip Hop,Italy
"""Live from Bandyalley""",,Marcus Saxell,Hip Hop,Sweden
Загубили Лялю,2003.0,Серёга,Hip Hop,Ukraine
Ex Girl To Next Girl,2005.0,Gang Starr,Hip Hop,UK
Licensed To Ill,1986.0,Beastie Boys,Hip Hop,Indonesia
Ни Мь Зан'ма'ай!,2003.0,Rabba,Hip Hop,Bulgaria
Honors English Volume 2: A New Day,2004.0,Kash (14); Tef Poe,Hip Hop,US
Declan Rice (Arsenal Version),2023.0,Odumodublvck,Hip Hop,Worldwide
Killah Kuts,2001.0,Various,Hip Hop,US
About That Time,,DJ Rags; Wordbond,Hip Hop,US
Anthology: The Sounds Of Science ,1999.0,Beastie Boys,Hip Hop,Europe
Promo DVD,2008.0,44 (7),Hip Hop,Russia
The Amber Probe E.P.,1996.0,Jedi Mind Tricks,Hip Hop,US
Volare,2007.0,Banda 400,Hip Hop,Italy
On The Moon,2005.0,Time Machine (2),Hip Hop,Japan
Everythings,2012.0,eemu,Hip Hop,
Schau Mir Ins Gesicht,2004.0,Siamak,Hip Hop,Germany
"Genocide - Lord, How Many Of Us Gotta Die?",1999.0,Lamar,Hip Hop,
Still Town,2023.0,Bars Clearly,Hip Hop,US
Lofi State Of Mind,2011.0,Tom Collins (35),Hip Hop,Russia
P.E. 2000 / Sunshine,,Puff Daddy; Unknown Artist,Hip Hop,US
Asfalt Wiosna 99 EP,1999.0,Various,Hip Hop,Poland
Party Mit Biss,2012.0,Hirnspalt,Hip Hop,Germany
Endlich Unendlich,2013.0,Megaloh,Hip Hop,Germany
Fantastic Vol. 1,2005.0,Slum Village,Hip Hop,US
Yella,2018.0,Ballhead (2),Hip Hop,Japan
Face Au Ciel,2024.0,Axel Boucherat,Hip Hop,France
