Source,Company Name,ICB Industry,Admission Date,Country of Incorporation,World Region,Market,International Issuer,Company Market Cap (￡m),Stock Code,Listing Status,Director's English Name,Capacity,Position,Appointment Date (yyyy-mm-dd),Resignation Date (yyyy-mm-dd),wiki_title,wiki_url,area_served,company_type,founded,founders,headquarters,industry,key_people,net_income,num_employees,operating_income,owner,parent,products,revenue,subsidiaries,total_assets,total_equity,traded_as,website
Hong Kong,B & S International Holdings Ltd.,Consumer Staples,,,,,,,1705.0,Current,CHAN Kam Chuen Andrew,Executive Director,"Chairman, CEO",2017-08-21,,,,,,,,,,,,,,,,,,,,,,
London,ACCROL GROUP HOLDINGS PLC,Consumer Staples,2016-6-10 0:00,United Kingdom,Europe,AIM,No,86.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hong Kong,"Fujing Holdings Co., Limited",Consumer Staples,,,,,,,2497.0,Current,CUI Wei,Executive Director,,2020-05-27,,,,,,,,,,,,,,,,,,,,,,
,,Financials,,,,,,,,,,,,,,Mitie,https://en.wikipedia.org/wiki/Mitie,,Public,1987,,"London, United Kingdom",Facilities Management,"Derek Mapp, Chairman Phil Bentley, CEO",£130.9 million (2024),"72,000 (2025)",£210.2 million (2024),,,,£4.5107 billion (2024),,,,LSE: MTOFTSE 250 component,www.mitie.com/
,,Energy,,,,,,,,,,,,,,Whitbread,https://en.wikipedia.org/wiki/Whitbread,United KingdomUnited Arab EmiratesIrelandIndiaGermany,Public limited company,"1742; 283 years ago (1742) in London, England",Samuel Whitbread,"Houghton Regis, England, UK",LeisureHospitality,Adam Crozier (Chairperson)Alison Brittain (CEO),£312.1 million (2024),"38,000 (2025)",£674.2 million (2024),,,,"£2,959.9 million (2024)",,,,LSE: WTBFTSE 100 Component,www.whitbread.co.uk
,,Health Care,,,,,,,,,,,,,,Noble Automotive,https://en.wikipedia.org/wiki/Noble_Automotive,,Private,1999 in Leeds,Lee Noble,"Leicester, England",Automotive,Peter Boutwood – MD,,8,,Bowei Liu,,Sports cars,,,,,,www.noblecars.com
,,Health Care,,,,,,,,,,,,,,Wang Laboratories,https://en.wikipedia.org/wiki/Wang_Laboratories,,Public,"Cambridge, Massachusetts, US (1951)",,"Tewksbury, Massachusetts, US (1963–1976)Lowell, Massachusetts, US (1976–1995)Billerica, Massachusetts (1995-1999)",Computer hardware,An Wang (founder),,"33,000 (1980s)",,,,"Word processors, minicomputers, microcomputers","$3 billion (1980s, peak)",,,,,
,,Consumer Staples,,,,,,,,,,,,,,Tata Consumer Products,https://en.wikipedia.org/wiki/Tata_Consumer_Products,Worldwide,Public,,,"Kolkata, India",Fast-moving consumer goods,Natarajan Chandrasekaran(Chairman)Sunil D’Souza (CEO & MD),"₹1,380 crore (US$160 million) (FY2025)","4,517 (2024)","₹1,776 crore (US$210 million) (FY2025)",,Tata Group,,"₹17,811 crore (US$2.1 billion) (FY2025)",Good Earth TeasTetleyEight O'Clock CoffeeOrganic IndiaTata Starbucks (50%),"₹31,977 crore (US$3.8 billion) (FY2025)","₹21,390 crore (US$2.5 billion) (FY2025)",BSE: 500800NSE: TATACONSUMNSE NIFTY 50 constituent,www.tataconsumer.com
,,Industrials,,,,,,,,,,,,,,Speedy Hire,https://en.wikipedia.org/wiki/Speedy_Hire,,Public Limited Company,1977,John Brown,"Haydock, United Kingdom",Rental Equipment,David Shearer (Non-executive Chairman)Dan Evans (Chief Executive Officer),£2.7 million (2024),,£23.9 million (2024),,,ToolsLifting EquipmentPower EquipmentRail Equipment,£421.5 million (2024),,,,LSE: SDY,speedyservices.com
,,Consumer Discretionary,,,,,,,,,,,,,,Andrews Sykes Group,https://en.wikipedia.org/wiki/Andrews_Sykes_Group,,Public limited company,1857,,"Wolverhampton, England, United Kingdom",Climate control,"Carl Webb, Managing DirectorJacques Murray, Chairman",,600 approx.,,,,,,,,,,www.andrews-sykes.com
,,Consumer Discretionary,,,,,,,,,,,,,,Sportech,https://en.wikipedia.org/wiki/Sportech,Worldwide,Public (LSE: SPO),,,United Kingdom,Online gambling,"Richard McGuire, Chief Executive Officer",,,,,,,,,,,,sportechplc.com
,,Basic Materials,,,,,,,,,,,,,,Johnson Matthey,https://en.wikipedia.org/wiki/Johnson_Matthey,,Public limited company,"1817; 208 years ago (1817)(London, England)",Percival Norton Johnson George Matthey,"London, England, UK",ChemicalsPrecious metals,Patrick Thomas (Chairperson)Liam Condon (CEO),£108 million (2024),"12,255 (2024)",£249 million (2024),,,"Emission control catalysts, industrial catalysts, absorbents, process technologies, fine chemicals, active pharmaceutical ingredients, chemical products, medical device components, colours, coatings, fuel cell technology, battery technology","£12,843 million (2024)",,,,LSE: JMATFTSE 250 component,matthey.com
,,Consumer Staples,,,,,,,,,,,,,,Dachan Food (Asia),https://en.wikipedia.org/wiki/Dachan_Food_(Asia),China,Privately owned company (Taiwanese enterprise),1995,,Hong Kong,Foods,Chairman: Han Jia-Hwan,,,,,Dachan Great Wall Enterprise,Chicken meat,,,,,,Dachan Food (Asia) Limited
,,Utilities,,,,,,,,,,,,,,Shaanxi Yanchang Petroleum,https://en.wikipedia.org/wiki/Shaanxi_Yanchang_Petroleum,People's Republic of China,Government Owned Entity,1905 (1905),,"Xi'an, Shaanxi, China",Oil and Gas,,,,,,,"Petroleum, Petrochemical, Natural Gas",,"Shaanxi Yanchang International Group, Novus Energy Group",,,,www.sxycpc.com
,,Real Estate,,,,,,,,,,,,,,Biffa,https://en.wikipedia.org/wiki/Biffa,United Kingdom,Private,"1912; 113 years ago (1912) in Wembley, London, England",Richard Henry Biffa,"High Wycombe, England",Waste management,Michael Topham (CEO),£(40.5) million (2021),"8,238 (2021)",£44.2 million (2021),Energy Capital Partners (2023–present),,,"£1,042.0 million (2021)",,,,LSE: BIFF (2016–2023),biffa.co.uk
,,Utilities,,,,,,,,,,,,,,Global Strategic Trends Programme,https://en.wikipedia.org/wiki/Global_Strategic_Trends_Programme,,,,,,,,,,,,,,,,,,,
,,Consumer Discretionary,,,,,,,,,,,,,,Sihuan Pharmaceutical,https://en.wikipedia.org/wiki/Sihuan_Pharmaceutical,,,,,,,,,,,,,,,,,,,
,,Consumer Discretionary,,,,,,,,,,,,,,China Star Entertainment Group,https://en.wikipedia.org/wiki/China_Star_Entertainment_Group,,Public Company,1992,Charles Heung,"Shun Tak Centre Sheung Wan, Hong Kong, China","Production company, film distributor, property development and investment, gaming",Charles HeungTiffany Chen,,,,,,"Motion pictures, Television shows",,One Hundred Years of Film,,,SEHK: 326,irasia.com/listco/hk/chinastar
,,Industrials,,,,,,,,,,,,,,CITIC Resources,https://en.wikipedia.org/wiki/CITIC_Resources,People's Republic of China and international,State-owned enterprise (Red chip),1997,,"Hong Kong, People's Republic of China",Natural resources,Mi Zengxin (Chairman),,,,,CITIC Group,,,,,,SEHK: 1205,resources.citic
,,Energy,,,,,,,,,,,,,,Hwange Colliery,https://en.wikipedia.org/wiki/Hwange_Colliery,,Open Cast and underground coal mine,1899,,Hwange,Mining,,,,,,,Coal,,,,,ZSE: HCCL,http://hwangecolliery.co.zw
,,Industrials,,,,,,,,,,,,,,Melrose Industries,https://en.wikipedia.org/wiki/Melrose_Industries,,Public limited company,2003,Christopher MillerDavid RoperSimon Peckham,"Birmingham, England, UK",Aerospace,Justin Dowley (Chairperson)Peter Dilnot (CEO),£(49) million (2024),"16,000 (2025)",£(4) million (2024),,,,"£3,468 million (2024)",GKN Aerospace,,,LSE: MROFTSE 100 component,melroseplc.net
,,Basic Materials,,,,,,,,,,,,,,Kingdee,https://en.wikipedia.org/wiki/Kingdee,,Public,"August 8, 1993; 32 years ago (1993-08-08)",Xu Shaochun,"Shenzhen, China",Software,Xu Shaochun (Chairman & CEO),,,,,,"Cloud computing, enterprise software",,,,,SEHK: 268,www.kingdee.com
,,Consumer Staples,,,,,,,,,,,,,,ZTE,https://en.wikipedia.org/wiki/ZTE,Worldwide,Public; state-owned enterprise,"1985; 40 years ago (1985) (as Zhongxing Semiconductor Co., Ltd.)",Hou Weigui,"55 Hi-tech Road SouthShenzhen, Guangdong, China518057",Telecommunications equipment Networking equipment,Ms. Fang Rong (Chairman and Executive Director) Mr. Xu Ziyang (Executive Director and CEO),CN¥8.08 billion (2022),"74,811 (2022)",CN¥6.16 billion (2022),Zhongxingxin (20.29% in 2022); China Aerospace Science and Industry Corporation,,"Mobile phones, smartphones, tablet computers, hardware, software, all series of wireless, wireline, services, devices and professional telecommunications services and services to telecommunications service providers and enterprises",CN¥122.95 billion / US $17.68 billion (2022),Nubia Technology (49.9%) ZTEsoft Zonergy,CN¥180.95 billion (2022),CN¥58.64 billion (2022),SZSE: 000063SEHK: 763CSI A50,www.zte.com.cn
,,Financials,,,,,,,,,,,,,,Guangdong Investment,https://en.wikipedia.org/wiki/Guangdong_Investment,"mainland China, Hong Kong",public,5 January 1973 (1973-01-05) (predecessor)12 July 1988 (1988-07-12) (as Guangdong Investment),,"Guangdong Investment Tower, Hong Kong Island, Hong Kong","water supply, infrastructure, real estate, department store, hotel",Huang Xiaofeng (chairman),,,,Guangdong Holdings (54.68%),Guangdong Holdings,,,,,,SEHK: 270,gdi.com.hk
,,Industrials,,,,,,,,,,,,,,Genus plc,https://en.wikipedia.org/wiki/Genus_plc,,Public,1933,,"Basingstoke, Hampshire, UK",Biotechnology,"Iain Ferguson, Chairman Jorgen Kokke, CEO",£2.4 million (2024),,£6.4 million (2024),,,,£668.8 million (2024),,,,LSE: GNSFTSE 250 component,www.genusplc.com
,,Consumer Discretionary,,,,,,,,,,,,,,Proton Holdings,https://en.wikipedia.org/wiki/Proton_Holdings,Mainly Malaysia See Overseas Operations for the company's overseas presence,Joint venture,7 May 1983; 42 years ago (7 May 1983),Mahathir Mohamad,"Shah Alam, Selangor, Malaysia",Automotive,Tan Sri Syed Faisal Albar (chairman)Dr. Li Chunrong (CEO)Dato' Abdul Rashid Musa (deputy CEO),,"12,000",,,,Automobiles,RM8.0 billion (2020),Proton R3,,,,proton.com
,,Real Estate,,,,,,,,,,,,,,Hopson Development,https://en.wikipedia.org/wiki/Hopson_Development,People's Republic of China,Privately held company,1992,,"Chaoyang District, Beijing, People's Republic of China",Real estate,Chairman: Mr. Zhu Mengyi,,"7,001",,,,,,,,,SEHK: 754,Hopson Development Holdings Limited
,,Consumer Staples,,,,,,,,,,,,,,Aveva,https://en.wikipedia.org/wiki/Aveva,Worldwide,Subsidiary,"1967; 58 years ago (1967) in Cambridge, UK",,"Cambridge, England, UK",Information Technology Technology consulting CAD/CAM Software Enterprise Asset Management Manufacturing Execution System Enterprise Solutions,Peter Herweck (Chairperson)Caspar Herzberg (CEO),£(62.6) million (2022),"6,500 (2022)",£(6.5) million (2022),,Schneider Electric (2023–present),,"£1,185.3 million (2022)",,"£6,670.5 million (2022)","£5,209.2 million (2022)",LSE: AVV (1996–2023),aveva.com
,,Consumer Staples,,,,,,,,,,,,,,Jingkelong,https://en.wikipedia.org/wiki/Jingkelong,,,,,,,,,,,,,,,,,,,
,,Consumer Staples,,,,,,,,,,,,,,Diageo,https://en.wikipedia.org/wiki/Diageo,,Public,17 December 1997; 27 years ago (1997-12-17),,"London, England",Drink industry,John Manzoni (Chairman)Nik Jhangiani (Interim CEO)Deidre Mahlan (Interim CFO),US$3.870 billion (2024),"30,000 (2024)",US$6.001 billion (2024),,,"Alcoholic beverages: spirits, beer and wine",US$20.269 billion (2024),United Spirits (55.9%),US$45.474 billion (2024),US$12.070 billion (2024),LSE: DGENYSE: DEOFTSE 100 Component,diageo.com
,,Real Estate,,,,,,,,,,,,,,Micro Focus,https://en.wikipedia.org/wiki/Micro_Focus,,Subsidiary,1976; 49 years ago (1976),Brian Reynolds,"Newbury, England",Information technology,Greg Lock (chairman) Stephen Murdoch (CEO),US$(424.4) million (2021),"11,000 (2022)",US$(265.6) million (2021),,OpenText,Enterprise application integration and management software,"US$2,899.9 million (2021)",NetIQ Serena Software,,,LSE: MCRO (2005⁠–2023) NYSE: MFGP (2017⁠–2023),microfocus.com
,,Consumer Discretionary,,,,,,,,,,,,,,AviChina Industry & Technology,https://en.wikipedia.org/wiki/AviChina_Industry_%26_Technology,,Public subsidiary,30 April 2003; 22 years ago (2003-04-30),,"Beijing, China",Aviation,Yan Lingxi (Chairman)Sun Jizhong (CEO),CN¥6.69 billion (2023),"74,584 (2023)",,Aviation Industry Corporation of China,Aviation Industry Corporation of China,,CN¥84.73 billion (2023),AVIC Jonhon Optronic Technology,CN¥185.02 billion (2023),CN¥88.06 billion (2023),SEHK: 2357,www.avichina.com
,,Real Estate,,,,,,,,,,,,,,Lever House,https://en.wikipedia.org/wiki/Lever_House,,,,,,,,,,,"Brookfield Properties, WatermanClark",,,,,,,,
,,Industrials,,,,,,,,,,,,,,Focusrite,https://en.wikipedia.org/wiki/Focusrite,,,1985; 40 years ago (1985),Rupert Neve,"Windsor House, Turnpike Rd, Cressex Business Park, High Wycombe, Buckinghamshire, England","Electronics, Professional Audio",Phil Dudderidge,,,,,,,,Focusrite Audio Engineering Limited (with subsidiaries Focusrite Novation Inc and Focusrite Novation Asia Limited)ADAM Audio GmbHMartin Audio LimitedNovationSequential,,,,focusriteplc.comfocusrite.compro.focusrite.comadam-audio.commartin-audio.comnovationmusic.comampifymusic.com
,,Energy,,,,,,,,,,,,,,China Power Clean Energy Development,https://en.wikipedia.org/wiki/China_Power_Clean_Energy_Development,,,2006 in Bermuda (legal domicile),,"Hong Kong, China","Electricity, renewable energy",Wang Binghua (Chairman)Wang Zhongtang (CEO),,,,,State Power Investment Corporation,Electric power,,,,,SEHK: 735,www.cpne.com.hk
,,Basic Materials,,,,,,,,,,,,,,Melco International Development,https://en.wikipedia.org/wiki/Melco_International_Development,"Hong Kong, Macau, Philippines, Cyprus",Listed company,1910; 115 years ago (1910) in British Hong Kong,,"Central, Hong Kong, China","Consumer discretionary – travel, leisure",Lawrence Ho(Chairman and CEO)Evan Winkler(President and Managing Director),,,,,,,,Melco Resorts & Entertainment Limited,,,SEHK: 200,www.melco-group.com
,,Real Estate,,,,,,,,,,,,,,Hong Kong Ferry,https://en.wikipedia.org/wiki/Hong_Kong_Ferry,Hong Kong,Listed company,1989; 36 years ago (1989),,"Tsing Yi, Hong Kong, People's Republic of China",Property development and Ferry service,Chairman: Colin Lam,,,,,Henderson Land Development,,,Hongkong and Yaumati Ferry,,,,Hong Kong Ferry (Holdings) Company Limited
,,Industrials,,,,,,,,,,,,,,Carillion,https://en.wikipedia.org/wiki/Carillion,,Public limited company,1999; 26 years ago (1999) (demerger from Tarmac),,"Wolverhampton, West Midlands, United Kingdom","Construction, civil engineering, facilities management",Philip Nevill Green CBE (former chairman)Richard Howson (former CEO)Keith Cochrane (former interim CEO),£129.5M (2016),"c. 43,000; with 19,000 in the UK (2016)[a]",£235.9M (2016),,,,"£5,214.2M (2016)",,,,LSE: CLLN,pwc.co.uk/carillion
,,Industrials,,,,,,,,,,,,,,Curtis Banks,https://en.wikipedia.org/wiki/Curtis_Banks,,Public limited company,2009; 16 years ago (2009),Rupert CurtisChris Banks,,,Jane Ridgley (COO)Dan Cowland (CFO),,600,,Nucleus Financial Platforms (2023–present),,,GBP£63.3 million (2021)GBP£53.9 million (2020),,,,,curtisbanks.co.uk
,,Health Care,,,,,,,,,,,,,,Aluminum Corporation of China Limited,https://en.wikipedia.org/wiki/Aluminum_Corporation_of_China_Limited,,Public; state-owned,"2001; 24 years ago (2001)(Beijing, China)",,"Beijing, China",Metals,"Xiong Weiping (CEO), Ge Honglin (Chairman of the Board)",US$ 877 million (2023),"124,995 (2023)",,Aluminum Corporation of China (35.78%)General Public,,Aluminum and copper products,US$ 63.6 billion (2023),,US$ 86.9 billion (2023),,SSE: 601600 (A share)SEHK: 2600 (H share)CSI A50,
,,Industrials,,,,,,,,,,,,,,Vanke,https://en.wikipedia.org/wiki/Vanke,,Public company,1984,Wang Shi,"Dameisha, Yantian District, Shenzhen, Guangdong, China",Real estate,Chairman: Yu LiangCEO: Yu Liang,US$ 1.7 billion (2023),"131,097 (2023)",,Shenzhen Metro (29.38%),,,US$ 65.79 billion (2023),,US$ 212.0 billion (2023),,SZSE: 000002SEHK: 2202CSI A50,vanke.com
,,Financials,,,,,,,,,,,,,,Begbies Traynor,https://en.wikipedia.org/wiki/Begbies_Traynor,,Public,1989,,"340 DeansgateManchester, United Kingdom",Professional services,,,,,,,,,,,,AIM: BEG,www.begbies-traynorgroup.com
,,Consumer Staples,,,,,,,,,,,,,,Creightons,https://en.wikipedia.org/wiki/Creightons,,Public Limited Company,1975; 50 years ago (1975),,"Peterborough, England, UK",Consumer goods,William McIlroy(Executive Chairman)Bernard Johnson(Executive Managing Director),£3.2 million (2020),,£3.8 million (2020),,,,£47.8 million (2020),,,,LSE: CRL,creightonsplc.com
,,Technology,,,,,,,,,,,,,,EQTEC,https://en.wikipedia.org/wiki/EQTEC,,Public,"Cork, Ireland (2005)",,"Cork, Ireland",Energy,David Palumbo CEO,,,,,,,,,,,AIM: EQT,
,,Energy,,,,,,,,,,,,,,GCM Resources,https://en.wikipedia.org/wiki/GCM_Resources,,Public company,1998?,,"London, United Kingdom",Coal mining,Leslie chow Chief Executive (London),,,,,,,,,,,,www.gcmplc.com
,,Energy,,,,,,,,,,,,,,China Coal Energy,https://en.wikipedia.org/wiki/China_Coal_Energy,China,Public,2006,,"Beijing, China",Coal mining,Wang An (Chairman),,,,,China National Coal Group (58.36%),Coal,,,,,SSE: 601898 (A share)SEHK: 1898 (H share),chinacoalenergy.com
,,Financials,,,,,,,,,,,,,,Allied Telesis,https://en.wikipedia.org/wiki/Allied_Telesis,Worldwide,Public (K.K),"March 9, 1987; 38 years ago (1987-03-09)",,"Nishi-Gotanda, Shinagawa-ku, Tokyo 141-0031, Japan",Networking hardware,Sachie Oshima(Chairman and CEO),¥211 million (FY 2017) (US$ 1.9 million) (FY 2017),"1,621 (consolidated, as of December 31, 2017)",,,,SwitchesRoutersFirewalls,¥28.39 billion (FY 2018) (US$ 262 million) (FY 2017),,,,TYO: 6835,Official website
,,Basic Materials,,,,,,,,,,,,,,Ferrexpo,https://en.wikipedia.org/wiki/Ferrexpo,,Public,1960,,"Baar (ZG), SwitzerlandHorishni Plavni, Ukraine",Iron Ore Mining and Processing,"Lucio Genovese, Chairman Nikolay Kladiev, CFO",$(50.0) million (2024),,$17.6 million (2024),,,Iron Ore Pellets,$933.3 million (2024),"PJSC Ferrexpo Poltava Mining, LLC Ferrexpo Yeristovo Mining, LLC Ferrexpo Belanovo Mining",,,LSE: FXPO,www.ferrexpo.com
,,Health Care,,,,,,,,,,,,,,Magnit,https://en.wikipedia.org/wiki/Magnit,,Public (PAO),1994; 31 years ago (1994),Sergei Galitsky,"Russia, Krasnodar",Retail,Jan Dunning (CEO),$458 million (2020),"300,000",$5.07 billion (2020),,,Consumer goods,$21.5 billion (2020),,$13.1 billion (2020),$2.54 billion (2020),MCX: MGNTLSE: MGNT,www.magnit.ru
,,Technology,,,,,,,,,,,,,,Digital China,https://en.wikipedia.org/wiki/Digital_China,,,,,,,,,,,,,,,,,,,
,,Consumer Staples,,,,,,,,,,,,,,COSCO Shipping,https://en.wikipedia.org/wiki/COSCO_Shipping,Worldwide,State-owned enterprise,2016; 9 years ago (2016),,"Shanghai, China",Marine transportation,Wan Min (Chairman/CCP Committee Secretary) Zajian Wong (COO) Meifeng Chen (CFO),,"118,243 (2020)",,,,,"$44,655 million (2020)",COSCO Shipping DevelopmentCOSCO Shipping EnergyCOSCO Shipping InternationalCOSCO Shipping PortsCOSCO Shipping TechnologyChina Shipping GroupOrient OverseasOOCL,"$125,906.4 million (2020)","$28,202.6 million (2020)",,en.coscoshipping.com
,,Energy,,,,,,,,,,,,,,Lekoil,https://en.wikipedia.org/wiki/Lekoil,Africa,Private,2010,"Olalekan (""Lekan"") Akinyanmi","Cayman Islands, London and Lagos",Oil and Gas,Shareholders and Board,,,,,,Crude OilNatural Gas,,LEKOIL Oil and Gas Investments Limited,,,,www.lekoil.com
,,Real Estate,,,,,,,,,,,,,,IGG Inc.,https://en.wikipedia.org/wiki/IGG_Inc.,,Public,"June 6, 2006; 19 years ago (2006-06-06)",,Singapore,Video games,,HK$452.8 million (2021),,,,,"Lords Mobile, Castle Clash [zh], Clash of Lords 2",HK$ 6.05 billion (2021),,,,SEHK: 799,www.igg.com
,,Energy,,,,,,,,,,,,,,Zijin Mining,https://en.wikipedia.org/wiki/Zijin_Mining,Worldwide,Public; partly state-owned,1986; 39 years ago (1986) as Shanghang Mineral Company,,"Shanghang, Longyan, Fujian, People's Republic of China",Mining,Chairman: Mr. Chen Jinghe,"CN¥32,100,000,000",,,,,"Gold, Copper, Zinc","CN¥303,600,000,000 (FY 2024)",,,,SSE: 601899SEHK: 2899CSI A50,www.zijinmining.com
,,Real Estate,,,,,,,,,,,,,,China CITIC Financial Asset Management,https://en.wikipedia.org/wiki/China_CITIC_Financial_Asset_Management,China (Mainland and Hong Kong),Public,11 November 1999; 26 years ago (1999-11-11),,"Beijing, China",Financial services,Liu Zhengjun (Chairman) Li Zimin (President),CN¥212.07 million (2023),"5,800 (2023)",,CITIC Group (26.46%)Ministry of Finance (24.76%),CITIC Group,,CN¥75.8 billion (2023),,CN¥968.10 billion (2023),CN¥48.04 billion (2023),SEHK: 2799,www.chamc.com.cn
,,Consumer Discretionary,,,,,,,,,,,,,,Aston Martin,https://en.wikipedia.org/wiki/Aston_Martin,Worldwide,Public limited company,15 January 1913; 112 years ago (1913-01-15),Lionel MartinRobert Bamford,"Gaydon, Warwickshire, England, United Kingdom",Automotive,Lawrence Stroll(Executive Chairman) Adrian Hallmark(Chief Executive Officer) Marek Reichman(Chief Creative Officer),−£323.5 million (2024),,−£82.8 million (2024),,,Luxury carsSports carsGrand tourers,"£1,583.9 million (2024)",Aston Martin Racing,,,LSE: AMLFTSE 250 component,astonmartinlagonda.com
,,Consumer Staples,,,,,,,,,,,,,,Longfor Properties,https://en.wikipedia.org/wiki/Longfor_Properties,,,,,,,,,,,,,,,,,,,
,,Basic Materials,,,,,,,,,,,,,,BOC Aviation,https://en.wikipedia.org/wiki/BOC_Aviation,,,1996 (29 years ago) (1996) in Singapore,,"79 Robinson Road, #15-01, Downtown Core, Singapore",Aircraft leasing,,,,,,Bank of China,,,,,,SEHK: 2588,www.bocaviation.com
,,Real Estate,,,,,,,,,,,,,,Lai Sun,https://en.wikipedia.org/wiki/Lai_Sun,,,1947; 78 years ago (1947) in Hong Kong,Lim Por-yen,Hong Kong,,,,,,,,,,,,,,www.laisun.com
,,Financials,,,,,,,,,,,,,,Federal Bank,https://en.wikipedia.org/wiki/Federal_Bank,,Public,"23 April 1931; 94 years ago (1931-04-23)(as Travancore Federal Bank) at Nedumpuram, Thiruvalla2 December 1949; 76 years ago (1949-12-02)(as Federal Bank)",K. P. Hormis,"Aluva, Kochi, Kerala, India",BankingFinancial services,KVS Manian (MD & CEO),"₹4,051.89 crore (US$480 million)(FY25)","15,545","₹6,101.13 crore (US$720 million) (FY25)",,,Retail BankingWholesale BankingFinance and InsuranceMortgage loansWealth managementInvestment bankingCredit cardsDebit cards,,,"₹349,004.80 crore (US$41 billion)(FY25)",,NSE: FEDERALBNKBSE: 500469LSE: FEDS,federal.bank.in
,,Health Care,,,,,,,,,,,,,,Shanghai Pharmaceuticals,https://en.wikipedia.org/wiki/Shanghai_Pharmaceuticals,"Asia-Pacific, China",listed,1994,,"Shanghai, China",Pharmaceuticals,,US$ 532 million (2023),"48,164 (2023)",,,,,"US$ 36,769 million (2023)",,"US$ 29,865 billion (2023)",,SSE: 601607 SEHK: 2607,www.sphchina.com
,,Health Care,,,,,,,,,,,,,,GenScript Biotech,https://en.wikipedia.org/wiki/GenScript_Biotech,Worldwide,Public,2002 in New Jersey,"Fangliang Zhang, Ye Wang, Luquan Wang","Nanjing, China",Life sciences,"Shao Weihui, CEO",,,,,,,,,,,SEHK: 1548,www.genscript.com
,,Utilities,,,,,,,,,,,,,,EnQuest,https://en.wikipedia.org/wiki/EnQuest,,Public limited company,6 April 2010,,"London, England",Oil and gas industry,James Buckee (Chairman)Amjad Bseisu (CEO),$93.8 million (2024),,$311.5 million (2024),,,Petroleum exploration and production,"$1,180.7 million (2024)",,,,"LSE: ENQ,",www.enquest.co.uk
,,Technology,,,,,,,,,,,,,,Naspers,https://en.wikipedia.org/wiki/Naspers,Worldwide,Public,12 May 1915; 110 years ago (1915-05-12),W.A. Hofmeyr,"Cape Town, South Africa","Internet, E-commerce, fintech, food delivery","Koos Bekker (chair)Fabricio Bloisi (CEO)Phuti Mahanyele-Dabengwa (CEO, South Africa)",,,US$3.7 billion (FY 2020),Public Investment Corporation (14%)Koos Bekker,,,US$22.1 billion (FY 2020),Prosus Media24Property24Takealot.comNaspers Foundry,US$36.3 billion (FY 2020),US$29.93 billion (FY 2020),JSE: NPNLSE: NPSN,www.naspers.com
,,Basic Materials,,,,,,,,,,,,,,Nimble Storage,https://en.wikipedia.org/wiki/Nimble_Storage,,Subsidiary,2008,,"San Jose, California, United States","Information technology, data storage, solid state drives","Varun Mehta, co-founderUmesh Maheshwari, co-founder and CTOSuresh Vasudevan, CEO",,1000+,,,Hewlett Packard Enterprise,"AF-Series Predictive All Flash arrays: AF1000, AF3000, AF5000, AF7000, AF9000 CS-Series Adaptive Flash arrays: CS1000/H, CS3000, CS5000, CS7000",,,,,,
,,Health Care,,,,,,,,,,,,,,Xinyi Glass,https://en.wikipedia.org/wiki/Xinyi_Glass,China,Public company,1988,,Hong Kong,Glass manufacturing and sales,Chairman: Lee Yin Yee (李賢義) Vice Chairman: Tung Ching Bor CEO: Tan Sri Datuk TUNG Ching Sai,,"14,059",,,,,,,,,SEHK: 868Hang Seng Index component,www.xinyiglass.com
,,Industrials,,,,,,,,,,,,,,Magnit,https://en.wikipedia.org/wiki/Magnit,,Public (PAO),1994; 31 years ago (1994),Sergei Galitsky,"Russia, Krasnodar",Retail,Jan Dunning (CEO),$458 million (2020),"300,000",$5.07 billion (2020),,,Consumer goods,$21.5 billion (2020),,$13.1 billion (2020),$2.54 billion (2020),MCX: MGNTLSE: MGNT,www.magnit.ru
,,Real Estate,,,,,,,,,,,,,,ContourGlobal,https://en.wikipedia.org/wiki/ContourGlobal,,Public limited company,2005; 20 years ago (2005),,"London, England",Power generation,"Joseph Brandt, President and CEO",$79.7 million (2021),,$370.1 million (2021),,KKR,,"$2,151.9 million (2021)",,,,LSE: GLO,www.contourglobal.com/
,,Technology,,,,,,,,,,,,,,Alfa Financial Software,https://en.wikipedia.org/wiki/Alfa_Financial_Software,,Public,1990,,"London, United Kingdom",Information Technology,Andrew Page (Chairman)Andrew Denton (CEO),£15.8 million (2024),,£25.1 million (2024),,,Software,£235.5 million (2024),,,,LSE: ALFA,www.alfasystems.com
,,Technology,,,,,,,,,,,,,,Dotdigital,https://en.wikipedia.org/wiki/Dotdigital,,,1999,,"London, United Kingdom",Digital marketing,Simon Bird(Co-founder)Dave Ivy(Co-Founder)Iain Anderson(Co-founder)Lewis Barclay(Co-founder)Ian (Tink) Taylor(Co-founder)John Adkins,,,,,,Software,,,,,AIM: DOTD,dotdigital.com
,,Utilities,,,,,,,,,,,,,,Unity Technologies,https://en.wikipedia.org/wiki/Unity_Technologies,,Public,"2004; 21 years ago (2004) in Copenhagen, Denmark",David HelgasonNicholas FrancisJoachim Ante,"San Francisco, US",SoftwareVideo games,Matthew Bromberg (CEO)Jim Whitehurst (chairman),US$−664 million (2024),"4,987 (2024)",US$−755 million (2024),,,Unity,US$1.81 billion (2024),"ChilliConnectdeltaDNAMultiplayVivoxArtomatixZiva DynamicsironSourceInteractive Data Visualization, Inc. (IDV)",US$6.74 billion (2024),US$3.19 billion (2024),NYSE: URussell 1000 component,unity.com
