Source,Company Name,ICB Industry,Admission Date,Country of Incorporation,World Region,Market,International Issuer,Company Market Cap (￡m),Stock Code,Listing Status,Director's English Name,Capacity,Position,Appointment Date (yyyy-mm-dd),Resignation Date (yyyy-mm-dd),wiki_title,wiki_url,area_served,company_type,founded,founders,headquarters,industry,key_people,net_income,num_employees,operating_income,owner,parent,products,revenue,subsidiaries,total_assets,total_equity,traded_as,website
London,ORACLE POWER PLC,Energy,2011-4-20 0:00,United Kingdom,Europe,AIM,No,13.03,,,,,,,,Ceres Power,https://en.wikipedia.org/wiki/Ceres_Power,,Public,2001,,"Horsham, England, UK",Alternative Energy,"Warren Finegold, Chair Phil Caldwell, CEO",£(28.3) million (2024),,£(31.3) million (2024),,,,£51.9 million (2024),,,,LSE: CWR,www.ceres.tech
London,PJSC GAZPROM,Energy,1996-10-28 0:00,Russian Federation,Europe,MAIN MARKET,Yes,,,,,,,,,Gazprom,https://en.wikipedia.org/wiki/Gazprom,,State-owned company Public (PAO),8 August 1989; 36 years ago (1989-08-08),,"Lakhta Center, Saint Petersburg, Russia",Oil and gas,Viktor Zubkov (Chairman)Alexey Miller (CEO),$2.25 billion (2020),"466,000 (2018)",$8.53 billion (2020),Russian government (50.23%),,PetroleumNatural gasPetrochemicals,$87.7 billion (2020),List of subsidiaries,$324 billion (2020),$205 billion (2020),MCX: GAZP,gazprom.com
London,PJSC LUKOIL,Energy,1997-5-7 0:00,Russian Federation,Europe,MAIN MARKET,Yes,26792.95,,,,,,,,PrJSC MHP,https://en.wikipedia.org/wiki/PrJSC_MHP,World Wide,Private joint-stock-company,1998,,"Kyiv, Ukraine","Agriculture, Foodtech","Yuriy Kosiuk (Founder, CEO)",,,,,,,,,,,,http://www.mhp.com.ua/en
London,PJSC TATNEFT,Energy,1996-12-13 0:00,Russian Federation,Europe,MAIN MARKET,Yes,,,,,,,,,PrJSC MHP,https://en.wikipedia.org/wiki/PrJSC_MHP,World Wide,Private joint-stock-company,1998,,"Kyiv, Ukraine","Agriculture, Foodtech","Yuriy Kosiuk (Founder, CEO)",,,,,,,,,,,,http://www.mhp.com.ua/en
London,PREMIER OIL PLC,Energy,1973-2-20 0:00,United Kingdom,Europe,MAIN MARKET,No,104.21,,,,,,,,Premier Oil,https://en.wikipedia.org/wiki/Premier_Oil,,Public,1934,,"London, UK",Oil,"Roy Franklin, (Chairman)Anthony R. C. Durrant, (CEO)",$164.3 million (2019),,$455.0 million (2019),,,,"$1,584.7 million (2019)",,,,LSE: PMO,www.premier-oil.com
London,PROTON MOTOR POWER SYSTEMS PLC,Energy,2006-10-31 0:00,United Kingdom,Europe,AIM,No,369.47,,,,,,,,Premier Foods,https://en.wikipedia.org/wiki/Premier_Foods,,Public,1975 (as Hillsdown Holdings),,"St. Albans, Hertfordshire, United Kingdom",Food Manufacturing,"Colin Day, (Chairman)Alex Whitehouse, (CEO)",£112.5 million (2024),"4,232 (2024)",£177.7 million (2024),,,Foods,"£1,137.5 million (2024)",,,,LSE: PFDFTSE 250 component,www.premierfoods.co.uk
London,PROVIDENCE RESOURCES PLC,Energy,2005-6-24 0:00,Ireland,Europe,AIM,Yes,55.7,,,,,,,,Golden Star Resources,https://en.wikipedia.org/wiki/Golden_Star_Resources,,Public company,7 March 1984,"Dave Fennell, Roger Morton","London, United Kingdom",Mining,"Peter Bradford (CEO, 1999-2007); Tom Mair (CEO, 2008-2012); Sam Coetzer (CEO, 2013-2019); Andrew Wray (CEO, 2019-2022)",,,,,,Gold,,Caystar Holdings (Cayman Islands),,,TSX: GSCAMEX: GSSGSE: GSR,gsr.com
London,RELIANCE INDUSTRIES LIMITED,Energy,2004-9-27 0:00,India,Asia,ADMISSION TO TRADING ONLY,Yes,,,,,,,,,Reliance Industries,https://en.wikipedia.org/wiki/Reliance_Industries,Worldwide,Public,1958; 67 years ago (1958),Dhirubhai Ambani,"Mumbai, Maharashtra, India",Conglomerate,Mukesh Ambani (Chairman & Managing Director),"₹81,309 crore (US$9.6 billion) (2025)","347,362 (2024)",₹1.83 lakh crore (US$22 billion) (2025),Ambani family (51%),,PetroleumNatural gasChemicalPetrochemicalOil refiningRetailTelecommunicationsMediaEntertainment,₹9.98 lakh crore (US$120 billion) (2025),List Jio Platforms (67.03%)Reliance RetailJio-bp (51%)JioStar (16.34%)Network18 Group (56.89%)DEN Networks (78.62%)Hathway (71.95%)Alok Industries (75%)Reliance FoundationIndiawin SportsRelicordReliance Institute of Life SciencesReliance Industrial Infrastructure (45.43%)Sterling and Wilson Renewable EnergyReliance New Energy Ltd.Sikka Ports & Terminals LimitedRenewable Energy Corporation,₹19.50 lakh crore (US$230 billion) (2025),₹10.09 lakh crore (US$120 billion) (2025),BSE: 500325NSE: RELIANCELSE: RIGDBSE SENSEX constituentNSE NIFTY 50 constituent,www.ril.com
London,ROCKHOPPER EXPLORATION PLC,Energy,2005-8-15 0:00,United Kingdom,Europe,AIM,No,25.67,,,,,,,,Rockhopper Exploration,https://en.wikipedia.org/wiki/Rockhopper_Exploration,Falkland Islands,Public limited company,2004,,"Salisbury, Wiltshire, United Kingdom",Oil and gas industry,Pierre Jungels CBE(Chairman)Sam MoodyCEO,-$87.2m (2010),13,,,,,,,,,AIM: RKH,www.rockhopperexploration.co.uk
London,ROSNEFT OIL COMPANY,Energy,2006-7-19 0:00,Russian Federation,Europe,MAIN MARKET,Yes,,,,,,,,,Tullow Oil,https://en.wikipedia.org/wiki/Tullow_Oil,,Public limited company,"1985 in Tullow, Ireland",,"London, United Kingdom",Oil and gas exploration,"Rahul Dhir, (CEO) (from July 2020) Dorothy Thompson (Chairman)",$(109.6) million (2023),,$295.9 million (2023),,,Oil and gas,"$1,634.1 million (2023)",,,,LSE: TLW,www.tullowoil.com
London,ROYAL DUTCH SHELL PLC,Energy,2005-7-20 0:00,United Kingdom,Europe,MAIN MARKET,No,74023.81,,,,,,,,British American Tobacco,https://en.wikipedia.org/wiki/British_American_Tobacco,Worldwide,Public,September 1902; 123 years ago (1902-09),James Buchanan Duke,"London, England, UK",Tobacco,Luc Jobin (chairman)Tadeu Marroco (CEO),£3.181 billion (2024),"46,000 (2025)",£2.736 billion (2024),,,CigarettesNicotine pouchesElectronic cigarettes,£25.867 billion (2024),Reynolds American Imperial Tobacco Canada Bentoel Group Souza Cruz Niemeyer Tekel Pakistan Tobacco Company Ceylon Tobacco Company (84%),,,LSE: BATS NYSE: BTI (ADS) JSE: BTI KN: BAT FTSE 100 component (BATS),bat.com
London,SAN LEON ENERGY PLC,Energy,2016-9-21 0:00,Ireland,Europe,AIM,Yes,107.98,,,,,,,,San Leon Energy,https://en.wikipedia.org/wiki/San_Leon_Energy,,Public,1995 (1995),,"Dublin, Ireland",Oil and gas industry,"Oisin Fanning, Executive ChairmanPaul Sullivan, Managing DirectorJohn Buggenhagen, Exploration DirectorJeremy Boak, Non-executive DirectorDaniel Martin, Non-executive DirectorRay King, Company Secretary","€3,976,375 (2010) €5,520,726 (2009)",,"€2,569,950 (2010) €5,077,322 (2009)",,,Crude oilNatural gas,"€592,047 (2010)",,"€148,717,094 (2010) €39,239,472 (2009)","€121,226,592 (2010) €33,033,389 (2009)",AIM: SLE,www.sanleonenergy.com
London,SAVANNAH ENERGY PLC,Energy,2014-8-1 0:00,United Kingdom,Europe,AIM,No,78.42,,,,,,,,Signature Aviation,https://en.wikipedia.org/wiki/Signature_Aviation,,,W. Wilson Cobbett Ltd1879; 146 years ago (1879)Scandinavia Belting1911; 114 years ago (1911)British Belting & Asbestos1925; 100 years ago (1925)BBA Group1967; 58 years ago (1967)BBA Aviation2007; 18 years ago (2007)Signature Aviation2019; 6 years ago (2019),,"Orlando, Florida",Aviation,Tony Lefebvre (CEO),US$(19.0) million (2020),"8,000 (2021)",US$192.8 million (2020),,,,"US$1,413.9 million (2020)",,,,,www.signatureaviation.com
London,STAR PHOENIX GROUP LTD,Energy,2007-10-23 0:00,Australia,Pacific,AIM,Yes,2.33,,,,,,,,Codemasters,https://en.wikipedia.org/wiki/Codemasters,,Subsidiary,"October 1986; 39 years ago (1986-10) in Banbury, England",Richard DarlingDavid Darling,"Southam, England",Video games,,,700 (2019),,,Reliance Entertainment (2010–2018)EA Sports (2021–present),Colin McRae Rally and Dirt series Dizzy series F1 series Grid series Micro Machines series Game Genie,,,,,,www.ea.com/ea-studios/codemasters
London,STERLING ENERGY PLC,Energy,2002-10-21 0:00,United Kingdom,Europe,AIM,No,26.41,,,,,,,,Exillon Energy,https://en.wikipedia.org/wiki/Exillon_Energy,,Public,2009,,"Uray, Russia",Oil exploration and production,"Sergey Koshelenko, ChairmanDmitry Margelov, CEO",US$31.6 million (2013),,US$91.10 million (2013),,,,US$321.5 million (2013),,,,LSE: EXI (2009-2020),www.exillonenergy.com
London,TOTAL SE,Energy,1973-9-26 0:00,France,Europe,MAIN MARKET,Yes,61397.53,,,,,,,,Total Produce,https://en.wikipedia.org/wiki/Total_Produce,,,2006,,"Dundalk, County Louth",Fresh produce,Carl McCann (Chairman) Rory Byrne (CEO),€ 66.2 million (2019),"6,005 (2019)",€ 82.3 million (2019),,,,"€ 3,729.3 million (2019)",,,,,www.totalproduce.com
London,TULLOW OIL PLC,Energy,2000-12-18 0:00,United Kingdom,Europe,MAIN MARKET,No,283.71,,,,,,,,Tullow Oil,https://en.wikipedia.org/wiki/Tullow_Oil,,Public limited company,"1985 in Tullow, Ireland",,"London, United Kingdom",Oil and gas exploration,"Rahul Dhir, (CEO) (from July 2020) Dorothy Thompson (Chairman)",$(109.6) million (2023),,$295.9 million (2023),,,Oil and gas,"$1,634.1 million (2023)",,,,LSE: TLW,www.tullowoil.com
London,UK OIL & GAS PLC,Energy,2005-3-2 0:00,United Kingdom,Europe,AIM,No,16.53,,,,,,,,UK Oil and Gas,https://en.wikipedia.org/wiki/UK_Oil_and_Gas,,,2000 (Wellingborough),,"Wellingborough, United Kingdom",Oil and Gas Exploration and Production,Stephen Sanderson (Executive Chairman and CEO) Matt Cartwright (Chief Operating Officer) Kiran Morzaria (Finance Director) Allen D Howard (Non-Executive Director),,,,,,,£0.21 million (2017),,,,AIM: UKOG,
London,UNITED OIL & GAS PLC,Energy,2015-11-10 0:00,United Kingdom,Europe,AIM,No,14.07,,,,,,,,Bharat Petroleum,https://en.wikipedia.org/wiki/Bharat_Petroleum,,Public,24 January 1976; 49 years ago (1976-01-24),,"Mumbai, Maharashtra, India",Energy: Oil and gas,Sanjay Khanna (chairman & MD),"₹13,336 crore (US$1.6 billion) (2025)","8,506 permanent and 25,848 contractual (31 March 2024)","₹18,182 crore (US$2.2 billion) (2025)",,,Petroleum Natural gas LNG Lubricants Petrochemicals,"₹503,202 crore (US$60 billion) (2025)",Indraprastha Gas Limited Petronet LNG,"₹218,382 crore (US$26 billion) (2025)","₹81,384 crore (US$9.6 billion) (2025)",BSE: 500547NSE: BPCL,www.bharatpetroleum.in
London,"VAALCO ENERGY, INC.",Energy,2019-9-26 0:00,United States,North America,MAIN MARKET,Yes,48.84,,,,,,,,Vaalco Energy,https://en.wikipedia.org/wiki/Vaalco_Energy,,Public company,1985; 40 years ago (1985),,"Houston, Texas, United States",Petroleum industry,"George W.M. Maxwell, CEOAndrew L. Fawthrop, ChairmanRon Bain, CFO",$81 million (2021),"117, including 80 in Gabon (2021)",,,,Petroleum,$199 million (2021),,$263 million (2021),$144 million (2021),NYSE: EGYRussell Microcap Index component,www.vaalco.com
London,VICTORIA OIL & GAS PLC,Energy,2004-7-27 0:00,United Kingdom,Europe,AIM,No,5.92,,,,,,,,Conroy Gold and Natural Resources,https://en.wikipedia.org/wiki/Conroy_Gold_and_Natural_Resources,Europe,Public,1995,Richard Conroy,"Citywest Business Campus, Dublin 24, Dublin, Ireland",Gold and Natural Resources,,,,,,,,,,,,LSE: CGNR,www.conroygoldandnaturalresources.com
London,WENTWORTH RESOURCES PLC,Energy,2018-11-2 0:00,Jersey,Europe,AIM,No,32.17,,,,,,,,Teck Resources,https://en.wikipedia.org/wiki/Teck_Resources,,Public,8 April 1913 (1913-04-08),,"Vancouver, British Columbia, Canada",Metals and Mining,"Sheila A. Murray, Board ChairJonathan H. Price, CEOShehzad Bharmal, EVP and COO",C$283 million (2024),"13,000+ (2023)",,,,"Copper, Zinc",C$9.1 billion (2024),,C$47.0 billion (2024),C$27.1 billion (2024),"NYSE: TECKTSX: TECK.A, TECK.BS&P/TSX 60 component",www.teck.com
London,WOOD GROUP (JOHN) PLC,Energy,2002-6-5 0:00,United Kingdom,Europe,MAIN MARKET,No,1452.76,,,,,,,,Thorn Lighting,https://en.wikipedia.org/wiki/Thorn_Lighting,Worldwide,Private,29 March 1928,Sir Jules Thorn,"London, England",Lighting,,,"more than 1,000 (2015)",,,Zumtobel Group,Professional luminaires and controls,€109 million (2020),,,,,www.thornlighting.com
Hong Kong,Ares Asia Limited,Energy,,,,,,,645.0,Current,LAI Yi Chun,Executive Director,"Chairman, CEO",2018-11-01,,Signature Aviation,https://en.wikipedia.org/wiki/Signature_Aviation,,,W. Wilson Cobbett Ltd1879; 146 years ago (1879)Scandinavia Belting1911; 114 years ago (1911)British Belting & Asbestos1925; 100 years ago (1925)BBA Group1967; 58 years ago (1967)BBA Aviation2007; 18 years ago (2007)Signature Aviation2019; 6 years ago (2019),,"Orlando, Florida",Aviation,Tony Lefebvre (CEO),US$(19.0) million (2020),"8,000 (2021)",US$192.8 million (2020),,,,"US$1,413.9 million (2020)",,,,,www.signatureaviation.com
Hong Kong,Century Energy International Holdings Limited,Energy,,,,,,,8132.0,Current,CHEONG Siu Fai,Independent Non Executive Director - A/F,,2025-06-04,,Exillon Energy,https://en.wikipedia.org/wiki/Exillon_Energy,,Public,2009,,"Uray, Russia",Oil exploration and production,"Sergey Koshelenko, ChairmanDmitry Margelov, CEO",US$31.6 million (2013),,US$91.10 million (2013),,,,US$321.5 million (2013),,,,LSE: EXI (2009-2020),www.exillonenergy.com
Hong Kong,China Coal Energy Company Limited,Energy,,,,,,,1898.0,Current,JING Feng Ru,Independent Non Executive Director,,2023-03-28,,China Coal Energy,https://en.wikipedia.org/wiki/China_Coal_Energy,China,Public,2006,,"Beijing, China",Coal mining,Wang An (Chairman),,,,,China National Coal Group (58.36%),Coal,,,,,SSE: 601898 (A share)SEHK: 1898 (H share),chinacoalenergy.com
Hong Kong,China Energy Development Holdings Limited,Energy,,,,,,,228.0,Current,CHEN Jian Xin,Non Executive Director,,2024-07-19,,China Power Clean Energy Development,https://en.wikipedia.org/wiki/China_Power_Clean_Energy_Development,,,2006 in Bermuda (legal domicile),,"Hong Kong, China","Electricity, renewable energy",Wang Binghua (Chairman)Wang Zhongtang (CEO),,,,,State Power Investment Corporation,Electric power,,,,,SEHK: 735,www.cpne.com.hk
Hong Kong,China Gas Industry Investment Holdings Co. Ltd.,Energy,,,,,,,1940.0,Current,LI Chun Elsy,Independent Non Executive Director,,2020-06-17,,Xinjiang Xinxin Mining Industry Company,https://en.wikipedia.org/wiki/Xinjiang_Xinxin_Mining_Industry_Company,China and abroad,State-owned enterprise,2005,,"Fuyun County, Xinjiang, People's Republic of China",Mining,Chairman: Yuan Ze,,,,,,"Nickel, Copper, Lithium, Beryllium, Tantalum, Niobium, Gold, Cobalt, Silver, Platinum, Palladium",,,,,,Xinjiang Xinxin Mining
Hong Kong,China Petroleum & Chemical Corporation,Energy,,,,,,,386.0,Current,CAI Yong,Non Executive Director,,2025-08-21,,China National Petroleum Corporation,https://en.wikipedia.org/wiki/China_National_Petroleum_Corporation,Worldwide,State-owned enterprise,1988; 37 years ago (1988),,"Dongcheng District, Beijing, China",Oil and gas,Dai Houliang (chairman)Hou Qijun (president),CN¥180.4 billion (2022),"1,090,345 (2022)",CN¥298.5 billion (2022),,,"Petroleum, natural gas, and other petrochemicals",CN¥3.400 trillion (2022),PetroChina,CN¥4.395 trillion (2022),CN¥2.508 trillion (2022),,www.cnpc.com.cn/en/
Hong Kong,China Shenhua Energy Company Limited,Energy,,,,,,,1088.0,Current,CHEN Han Wen,Independent Non Executive Director,,2020-05-29,,China BlueChemical,https://en.wikipedia.org/wiki/China_BlueChemical,People's Republic of China,State-owned enterprise,2006,,"Dongfang, Hainan, People's Republic of China",Nitrogenous fertilizer manufacturing and sales,Chairman: Mr. Wu Mengfei,,,,,CNOOC,,,,,,,China BlueChemical Limited
Hong Kong,CITIC Resources Holdings Limited,Energy,,,,,,,1205.0,Current,CAI Jin,Independent Non Executive Director,,2024-12-19,,CITIC Resources,https://en.wikipedia.org/wiki/CITIC_Resources,People's Republic of China and international,State-owned enterprise (Red chip),1997,,"Hong Kong, People's Republic of China",Natural resources,Mi Zengxin (Chairman),,,,,CITIC Group,,,,,,SEHK: 1205,resources.citic
Hong Kong,CNOOC Limited,Energy,,,,,,,883.0,Current,CHAN Chak Ming,Independent Non Executive Director,,2025-06-05,,Rotork,https://en.wikipedia.org/wiki/Rotork,,Public,1940s,,"Bath, Somerset, UK",Engineering,"Dorothy Thompson, ChairKiet Huynh, CEO",£104.8 million (2024),"3,300 (2025)",£135.9 million (2024),,,,£754.4 million (2024),,,,LSE: RORFTSE 250 component,www.rotork.com
Hong Kong,Energy International Investments Holdings Limited,Energy,,,,,,,353.0,Current,CAO Sheng,Executive Director,Chairman,2018-03-15,,SenseTime,https://en.wikipedia.org/wiki/SenseTime,"Computer vision, deep learning, face recognition, object detection, autonomous driving, smart cities, mobile apps, fintech, education",Public; partly state-owned,October 2014; 11 years ago (October 2014),Tang Xiao'ou Xu Li,"Science Park, Hong Kong",Artificial intelligence,,,"3,000 (2019)",,,China Internet Investment Fund,,,,,,SEHK: 20,www.sensetime.com
Hong Kong,Green Leader Holdings Group Limited,Energy,,,,,,,61.0,Current,AN Juan,Executive Director,,2024-06-28,,Harmony Intelligent Mobility Alliance,https://en.wikipedia.org/wiki/Harmony_Intelligent_Mobility_Alliance,,,,,,,,,,,Huawei,,,,,,,,hima.auto
Hong Kong,Hidili Industry International Development Limited,Energy,,,,,,,1393.0,Current,CHAN Shiu Yuen Sammy,Independent Non Executive Director - A/F,,2019-05-31,,Melco International Development,https://en.wikipedia.org/wiki/Melco_International_Development,"Hong Kong, Macau, Philippines, Cyprus",Listed company,1910; 115 years ago (1910) in British Hong Kong,,"Central, Hong Kong, China","Consumer discretionary – travel, leisure",Lawrence Ho(Chairman and CEO)Evan Winkler(President and Managing Director),,,,,,,,Melco Resorts & Entertainment Limited,,,SEHK: 200,www.melco-group.com
Hong Kong,Kinetic Development Group Limited,Energy,,,,,,,1277.0,Current,CHEN Liang Nuan,Independent Non Executive Director,,2022-05-30,,Surgical Innovation,https://en.wikipedia.org/wiki/Surgical_Innovation,,,,,,,,,,,,,,,,,,,
Hong Kong,Nan Nan Resources Enterprise Limited,Energy,,,,,,,1229.0,Current,CHAN Yiu Fai Youdey,Independent Non Executive Director,,2008-03-25,,China Power Clean Energy Development,https://en.wikipedia.org/wiki/China_Power_Clean_Energy_Development,,,2006 in Bermuda (legal domicile),,"Hong Kong, China","Electricity, renewable energy",Wang Binghua (Chairman)Wang Zhongtang (CEO),,,,,State Power Investment Corporation,Electric power,,,,,SEHK: 735,www.cpne.com.hk
Hong Kong,PetroChina Company Limited,Energy,,,,,,,857.0,Current,DAI Hou Liang,Executive Director,Chairman,2020-03-25,,PetroChina,https://en.wikipedia.org/wiki/PetroChina,Worldwide with primary markets in China,State owned enterprise,5 November 1999; 26 years ago (1999-11-05),,"Dongcheng District, Beijing China",Oil and gas,Zhou Jiping (chairman)Wang Dongjin (CEO),"CN¥36,793 million (2017)","506,000 (2019)","CN¥67,722 million (2017)",,China National Petroleum Corporation,"Fuels, lubricants, natural gas, petrochemicals",US$297 Billion (2020),Singapore Petroleum Company,"CN¥2,404,612 million (2017)","CN¥1,381,319 million (2017)",SSE: 601857SEHK: 857Hang Seng Index component,petrochina.com.cn
Hong Kong,SouthGobi Resources Ltd.,Energy,,,,,,,1878.0,Current,CHOI Fan Keung Vic,Independent Non Executive Director,,2024-06-27,,Turquoise Hill Resources,https://en.wikipedia.org/wiki/Turquoise_Hill_Resources,,Subsidiary,1994,"Robert Friedland (ownership at 15.5%,was 18.2% bef.Jan.27 rights offering)","Montreal, Quebec, Canada",Mining & Exploration,"John Macken, President Kay Priestly, CEO Christopher Bateman CFO",US$(570.37) mil (2011),,,,Rio Tinto Group,"Gold, Copper, Uranium, CoalMolybdenum, Rhenium",US$179.05 million (2011)124%,,"$6,136.83 million (Dec12)91%",$1.716 billion (July20),TSX: TRQ (2012–2022)Nasdaq: TRQ (2013–2020)NYSE: TRQ (2013–2022),www.turquoisehill.com
Hong Kong,Yanchang Petroleum International Limited,Energy,,,,,,,346.0,Current,DING Jia Sheng,Executive Director,,2021-04-01,,Zijin Mining,https://en.wikipedia.org/wiki/Zijin_Mining,Worldwide,Public; partly state-owned,1986; 39 years ago (1986) as Shanghang Mineral Company,,"Shanghang, Longyan, Fujian, People's Republic of China",Mining,Chairman: Mr. Chen Jinghe,"CN¥32,100,000,000",,,,,"Gold, Copper, Zinc","CN¥303,600,000,000 (FY 2024)",,,,SSE: 601899SEHK: 2899CSI A50,www.zijinmining.com
Hong Kong,Yankuang Energy Group Company Limited,Energy,,,,,,,1171.0,Current,GAO Jing Xian,Independent Non Executive Director,,2025-05-30,,Longfor Properties,https://en.wikipedia.org/wiki/Longfor_Properties,,,,,,,,,,,,,,,,,,,
London,SDX ENERGY PLC,Energy,2019-5-28 0:00,United Kingdom,Europe,AIM,No,30.81,,,,,,,,Genel Energy,https://en.wikipedia.org/wiki/Genel_Energy,Iraqi Kurdistan,Public,2011 (2011),,London,Oil and gas industry,David McManus (Chairman) Paul Weir (CEO),,,,,,,,,,,LSE: GENL,www.genelenergy.com
London,CORO ENERGY PLC,Energy,2017-2-24 0:00,United Kingdom,Europe,AIM,No,1.98,,,,,,,,Vaalco Energy,https://en.wikipedia.org/wiki/Vaalco_Energy,,Public company,1985; 40 years ago (1985),,"Houston, Texas, United States",Petroleum industry,"George W.M. Maxwell, CEOAndrew L. Fawthrop, ChairmanRon Bain, CFO",$81 million (2021),"117, including 80 in Gabon (2021)",,,,Petroleum,$199 million (2021),,$263 million (2021),$144 million (2021),NYSE: EGYRussell Microcap Index component,www.vaalco.com
Hong Kong,Honghua Group Limited,Energy,,,,,,,196.0,Current,LI Yue Dong,Independent Non Executive Director,,2024-06-28,,Aveva,https://en.wikipedia.org/wiki/Aveva,Worldwide,Subsidiary,"1967; 58 years ago (1967) in Cambridge, UK",,"Cambridge, England, UK",Information Technology Technology consulting CAD/CAM Software Enterprise Asset Management Manufacturing Execution System Enterprise Solutions,Peter Herweck (Chairperson)Caspar Herzberg (CEO),£(62.6) million (2022),"6,500 (2022)",£(6.5) million (2022),,Schneider Electric (2023–present),,"£1,185.3 million (2022)",,"£6,670.5 million (2022)","£5,209.2 million (2022)",LSE: AVV (1996–2023),aveva.com
London,"SOCIETATEA NATIONALA DE GAZE NATURALE ""ROMGAZ"" S.A.",Energy,2013-11-12 0:00,Romania,Europe,MAIN MARKET,Yes,,,,,,,,,Riotinto-Nerva mining basin,https://en.wikipedia.org/wiki/Riotinto-Nerva_mining_basin,,,,,,,,,,,,,,,,,,,
London,SERINUS ENERGY PLC,Energy,2018-5-18 0:00,Jersey,Europe,AIM,No,9.83,,,,,,,,Exillon Energy,https://en.wikipedia.org/wiki/Exillon_Energy,,Public,2009,,"Uray, Russia",Oil exploration and production,"Sergey Koshelenko, ChairmanDmitry Margelov, CEO",US$31.6 million (2013),,US$91.10 million (2013),,,,US$321.5 million (2013),,,,LSE: EXI (2009-2020),www.exillonenergy.com
London,GETECH GROUP PLC,Energy,2005-9-23 0:00,United Kingdom,Europe,AIM,No,3.94,,,,,,,,Coolpad,https://en.wikipedia.org/wiki/Coolpad,Worldwide,Public,29 April 1993; 32 years ago (1993-04-29) (as Yulong Computer)2002 (as China Wireless Tech.),Guo Deying(as chairman)Shenzhen University(as shareholder)Dickman Enterprises(as shareholder),"Shenzhen, China(general office)Cayman Islands(registered office)Hong Kong(second office)",Consumer electronics,Chen Jiajun(CEO)Leung Siu Kee(director)Lam Ting Fung Freeman(director)Liang Rui(director),HK$ -409 million (2018),637 (Dec.2018),,Chen Jiajun(17.83%)Zeal(10.95%)Guo Deying(09.21%),,Smartphones,"HK$1,277 million (2018)",Yulong Computer (100%),"HK$3,117 million (2018)",HK$0414 million (2018),SEHK: 2369,www.coolpad.comwww.coolpad.us (alternate US site)
London,PLEXUS HOLDINGS PLC,Energy,2005-12-9 0:00,United Kingdom,Europe,AIM,No,17.83,,,,,,,,Tracsis,https://en.wikipedia.org/wiki/Tracsis,,Public,"2004; 21 years ago (2004), in Leeds, England",,"Leeds, UK",IT Services,David Frost (CEO)Andrew Kelly (CFO)Jill Easterbrook (Chair),,777 (2020),,,,,,,,,LSE: TRCS,www.tracsis.com
Hong Kong,Strong Petrochemical Holdings Limited,Energy,,,,,,,852.0,Current,CAO Xin Zhong,Executive Director,,2025-01-25,,Tullow Oil,https://en.wikipedia.org/wiki/Tullow_Oil,,Public limited company,"1985 in Tullow, Ireland",,"London, United Kingdom",Oil and gas exploration,"Rahul Dhir, (CEO) (from July 2020) Dorothy Thompson (Chairman)",$(109.6) million (2023),,$295.9 million (2023),,,Oil and gas,"$1,634.1 million (2023)",,,,LSE: TLW,www.tullowoil.com
London,PROSPEX ENERGY PLC,Energy,2002-4-30 0:00,United Kingdom,Europe,AIM,No,1.82,,,,,,,,Genel Energy,https://en.wikipedia.org/wiki/Genel_Energy,Iraqi Kurdistan,Public,2011 (2011),,London,Oil and gas industry,David McManus (Chairman) Paul Weir (CEO),,,,,,,,,,,LSE: GENL,www.genelenergy.com
London,THALASSA HOLDINGS LIMITED,Energy,2008-7-29 0:00,British Virgin Islands,North America,MAIN MARKET,Yes,7.36,,,,,,,,Aveva,https://en.wikipedia.org/wiki/Aveva,Worldwide,Subsidiary,"1967; 58 years ago (1967) in Cambridge, UK",,"Cambridge, England, UK",Information Technology Technology consulting CAD/CAM Software Enterprise Asset Management Manufacturing Execution System Enterprise Solutions,Peter Herweck (Chairperson)Caspar Herzberg (CEO),£(62.6) million (2022),"6,500 (2022)",£(6.5) million (2022),,Schneider Electric (2023–present),,"£1,185.3 million (2022)",,"£6,670.5 million (2022)","£5,209.2 million (2022)",LSE: AVV (1996–2023),aveva.com
Hong Kong,E-Commodities Holdings Limited,Energy,,,,,,,1733.0,Current,CAO Xin Yi,Executive Director,"Chairman, CEO",2015-10-28,,Shandong Hi-Speed New Energy Group,https://en.wikipedia.org/wiki/Shandong_Hi-Speed_New_Energy_Group,,,,,,,,,,,,,,,,,,,
London,BORDERS & SOUTHERN PETROLEUM PLC,Energy,2005-5-24 0:00,United Kingdom,Europe,AIM,No,2.72,,,,,,,,Gulf Keystone Petroleum,https://en.wikipedia.org/wiki/Gulf_Keystone_Petroleum,,Public limited company,2001,,"London, England Hamilton, Bermuda",Oil and gas industry,Jaap Huijskes (Chairman)Jón Ferrier (CEO),,Over 600,,,,,,,,,LSE: GKP,www.gulfkeystone.com
London,HYDRODEC GROUP PLC,Energy,2004-12-21 0:00,United Kingdom,Europe,AIM,No,0.92,,,,,,,,Energean,https://en.wikipedia.org/wiki/Energean,"Southeast Europe, North Africa",Public,2007; 18 years ago (2007),,"London, United Kingdom",Energy,Karen Simon (Chairman)Mathios Rigas (CEO),US$188.1 million (2024),,US$394.4 million (2024),UBS Asset Management (17.5%)Stathis Topouzoglou (9.47%)Leumi Partners Ltd. (8.70%)Mathios Rigas (8.34%),,Oil and Gas ExplorationNatural Gas Trading Oil Refining,"US$1,314.7 million (2024)",,"US$5,924.6 million (2024)",US$638.1 million (2024),LSE: ENOGFTSE 250 component,www.energean.com
