Report Number,Local Case Number,Agency Name,ACRS Report Type,Crash Date/Time,Hit/Run,Route Type,Lane Direction,Lane Type,Number of Lanes,Direction,Distance,Distance Unit,Road Grade,Road Name,Cross-Street Name,Off-Road Description,Municipality,Related Non-Motorist,At Fault,Collision Type,Weather,Surface Condition,Light,Traffic Control,Driver Substance Abuse,Non-Motorist Substance Abuse,First Harmful Event,Second Harmful Event,Junction,Intersection Type,Road Alignment,Road Condition,Road Division,Latitude,Longitude,Location
MCP3084005G,220007283,Montgomery County Police,Property Damage Crash,02/19/2022 07:27:00 AM,No,County,South,,3.0,West,0.0,FEET,LEVEL,GROSVENOR LA,ROCKVILLE PIKE,,,,UNKNOWN,HEAD ON LEFT TURN,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,,OTHER VEHICLE,,INTERSECTION,Y-INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.02259,-77.10355,"(39.02259, -77.10355)"
EJ7870006F,230059198,Gaithersburg Police Depar,Property Damage Crash,10/07/2023 09:35:00 PM,No,Maryland (State),West,,3.0,North,0.0,FEET,LEVEL,GREAT SENECA HWY,SAM EIG HWY,,,,DRIVER,HEAD ON LEFT TURN,CLEAR,DRY,DARK LIGHTS ON,TRAFFIC SIGNAL,NONE DETECTED,,OTHER VEHICLE,,INTERSECTION,T-INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.10872097,-77.21216805,"(39.10872097, -77.21216805)"
MCP2116007J,170545364,Montgomery County Police,Injury Crash,11/28/2017 01:25:00 PM,Yes,Maryland (State),West,,2.0,North,0.0,FEET,LEVEL,ROCKVILLE PIKE,HUBBARD DR,,,,DRIVER,HEAD ON LEFT TURN,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,,OTHER VEHICLE,,INTERSECTION,FOUR-WAY INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.055255,-77.11838333,"(39.055255, -77.11838333)"
MCP2810001P,220032511,Montgomery County Police,Property Damage Crash,07/28/2022 07:20:00 PM,No,County,South,,4.0,South,500.0,FEET,GRADE DOWNHILL,AIRPARK RD,MUNCASTER MILL RD,,,,DRIVER,HEAD ON LEFT TURN,RAINING,WET,DAYLIGHT,NO CONTROLS,,,OTHER VEHICLE,FIXED OBJECT,NON INTERSECTION,,CURVE RIGHT,,"TWO-WAY, DIVIDED, UNPROTECTED PAINTED MIN 4 FEET",39.15487883,-77.14244,"(39.15487883, -77.14244)"
MCP2674002N,210049872,Montgomery County Police,Property Damage Crash,12/08/2021 03:36:00 PM,No,County,West,,3.0,South,0.0,FEET,HILL UPHILL,STRINGTOWN RD,FREDERICK RD,,,,DRIVER,HEAD ON LEFT TURN,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,,OTHER VEHICLE,,INTERSECTION,FOUR-WAY INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.23753783,-77.27766567,"(39.23753783, -77.27766567)"
MCP29210024,170534061,Montgomery County Police,Injury Crash,09/30/2017 06:59:00 PM,No,Maryland (State),North,,3.0,North,0.0,FEET,LEVEL,FREDERICK RD,SCENERY DR,,,,DRIVER,HEAD ON LEFT TURN,CLEAR,DRY,DARK LIGHTS ON,,NONE DETECTED,,OTHER VEHICLE,FIXED OBJECT,INTERSECTION,FOUR-WAY INTERSECTION,STRAIGHT,,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.17567833,-77.23813167,"(39.17567833, -77.23813167)"
MCP297700BH,230001448,Montgomery County Police,Injury Crash,01/10/2023 09:00:00 AM,No,Maryland (State),South,,3.0,South,0.0,FEET,LEVEL,NEW HAMPSHIRE AVE,CRESTHAVEN DR,,,,DRIVER,HEAD ON LEFT TURN,CLEAR,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,,OTHER VEHICLE,FIXED OBJECT,INTERSECTION RELATED,T-INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.03091167,-76.984125,"(39.03091167, -76.984125)"
MCP3168005R,230034436,Montgomery County Police,Property Damage Crash,07/19/2023 05:42:00 PM,No,County,West,,1.0,East,280.0,MILE,GRADE DOWNHILL,NEEDWOOD RD,BEACH DR,,,,DRIVER,HEAD ON LEFT TURN,CLEAR,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,,OTHER VEHICLE,,OTHER,OTHER,CURVE LEFT,NO DEFECTS,"TWO-WAY, DIVIDED, UNPROTECTED PAINTED MIN 4 FEET",39.12873883,-77.12878967,"(39.12873883, -77.12878967)"
MCP9432003M,230033341,Montgomery County Police,Injury Crash,07/13/2023 11:10:00 AM,No,Maryland (State),North,,3.0,North,0.0,FEET,GRADE DOWNHILL,16TH ST,EAST WEST HWY,,,,DRIVER,HEAD ON LEFT TURN,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,,OTHER VEHICLE,,INTERSECTION,FOUR-WAY INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",38.9945885,-77.03590067,"(38.9945885, -77.03590067)"
MCP2583001J,210014896,Montgomery County Police,Property Damage Crash,04/21/2021 05:41:00 PM,No,County,East,,1.0,East,500.0,FEET,GRADE DOWNHILL,COBBLE CREEK CIR,POTOMAC CREST DR,,,,DRIVER,HEAD ON LEFT TURN,CLEAR,DRY,DAYLIGHT,,,,PARKED VEHICLE,,,,STRAIGHT,NO DEFECTS,"TWO-WAY, NOT DIVIDED",39.03892445,-77.16057517,"(39.03892445, -77.16057517)"
EJ7865001D,170520953,Gaithersburg Police Depar,Injury Crash,07/24/2017 08:43:00 PM,No,County,North,LEFT TURN LANE,3.0,South,0.0,FEET,LEVEL,QUINCE ORCHARD RD,DARNESTOWN RD,,,,DRIVER,HEAD ON LEFT TURN,,DRY,DARK LIGHTS ON,TRAFFIC SIGNAL,NONE DETECTED,,OTHER VEHICLE,,INTERSECTION,FOUR-WAY INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, UNPROTECTED PAINTED MIN 4 FEET",39.11799,-77.25259167,"(39.11799, -77.25259167)"
MCP2059004K,170545535,Montgomery County Police,Property Damage Crash,11/29/2017 09:36:00 AM,No,Maryland (State),East,LEFT TURN LANE,4.0,East,0.0,FEET,LEVEL,UNIVERSITY BLVD W,LEXINGTON ST,,,,DRIVER,HEAD ON LEFT TURN,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,,OTHER VEHICLE,,INTERSECTION,FOUR-WAY INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.03388409,-77.07247674,"(39.03388409, -77.07247674)"
MCP2707001P,190038424,Montgomery County Police,Injury Crash,08/12/2019 12:07:00 PM,No,County,South,,2.0,North,0.0,FEET,HILL CREST,WASHINGTONIAN BLVD,BEGIN BRIDGE,,,,DRIVER,HEAD ON LEFT TURN,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,,OTHER VEHICLE,,INTERSECTION,FOUR-WAY INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.11792167,-77.20633333,"(39.11792167, -77.20633333)"
DD56430031,230053703,Rockville Police Departme,Injury Crash,09/07/2023 07:25:00 PM,No,Maryland (State),North,,4.0,North,0.0,FEET,LEVEL,ROCKVILLE PIKE,TWINBROOK PKWY,,ROCKVILLE,,DRIVER,HEAD ON LEFT TURN,,DRY,DUSK,TRAFFIC SIGNAL,NONE DETECTED,,OTHER VEHICLE,,INTERSECTION,FOUR-WAY INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.05887919,-77.12128027,"(39.05887919, -77.12128027)"
MCP27380020,17000268,Montgomery County Police,Injury Crash,01/02/2017 05:58:00 PM,No,US (State),North,,3.0,North,0.0,FEET,LEVEL,COLUMBIA PIKE,STEWART LA,,,,DRIVER,HEAD ON LEFT TURN,RAINING,WET,DARK LIGHTS ON,TRAFFIC SIGNAL,,,OTHER VEHICLE,,INTERSECTION,FOUR-WAY INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.04652167,-76.98684333,"(39.04652167, -76.98684333)"
MCP94190049,230024197,Montgomery County Police,Injury Crash,05/20/2023 11:47:00 AM,No,County,North,,5.0,South,0.0,FEET,LEVEL,CRABBS BRANCH WAY,INDIAN HILLS DR,,,,DRIVER,HEAD ON LEFT TURN,CLEAR,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,,OTHER VEHICLE,,INTERSECTION,FOUR-WAY INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.11605333,-77.15690833,"(39.11605333, -77.15690833)"
MCP2974004H,230016095,Montgomery County Police,Injury Crash,04/04/2023 01:43:00 PM,No,US (State),South,,3.0,South,0.0,FEET,LEVEL,COLUMBIA PIKE,NATIONAL DR,,,,DRIVER,HEAD ON LEFT TURN,,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,,OTHER VEHICLE,OTHER VEHICLE,INTERSECTION RELATED,FOUR-WAY INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.1126345,-76.932885,"(39.1126345, -76.932885)"
MCP31180042,230047637,Montgomery County Police,Property Damage Crash,08/03/2023 01:30:00 PM,No,Maryland (State),South,,2.0,North,0.0,FEET,LEVEL,LAYHILL RD,BEL PRE RD,,,,DRIVER,HEAD ON LEFT TURN,CLOUDY,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,,OTHER VEHICLE,,INTERSECTION,FOUR-WAY INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.09063849,-77.04476115,"(39.09063849, -77.04476115)"
MCP2667008T,230058219,Montgomery County Police,Injury Crash,10/03/2023 07:30:00 AM,No,Maryland (State),South,,3.0,North,0.0,FEET,LEVEL,WOODFIELD RD,RICKENBACKER DR,,,,DRIVER,HEAD ON LEFT TURN,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,,OTHER VEHICLE,OVERTURN,INTERSECTION,FOUR-WAY INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.17239816,-77.15266335,"(39.17239816, -77.15266335)"
MCP2855002X,180054431,Montgomery County Police,Injury Crash,10/30/2018 06:01:00 PM,No,County,South,,2.0,North,0.0,FEET,LEVEL,OLD COLUMBIA PIKE,FAIRLAND RD,,,,DRIVER,HEAD ON LEFT TURN,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,,OTHER VEHICLE,,INTERSECTION,T-INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, UNPROTECTED PAINTED MIN 4 FEET",39.07681315,-76.95732008,"(39.07681315, -76.95732008)"
MCP3140001M,210006725,Montgomery County Police,Property Damage Crash,02/21/2021 09:16:00 PM,Yes,Maryland (State),South,,3.0,North,0.0,FEET,LEVEL,16TH ST,EAST WEST HWY,,,,DRIVER,HEAD ON LEFT TURN,CLEAR,DRY,DARK LIGHTS ON,TRAFFIC SIGNAL,"NONE DETECTED, UNKNOWN",,OTHER VEHICLE,,INTERSECTION,FOUR-WAY INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",38.99445762,-77.03636644,"(38.99445762, -77.03636644)"
MCP2446003F,180002770,Montgomery County Police,Injury Crash,01/17/2018 09:03:00 PM,No,County,East,,1.0,East,0.0,FEET,HILL UPHILL,BRINK RD,WOODFIELD RD,,,,DRIVER,HEAD ON LEFT TURN,CLEAR,DRY,DARK NO LIGHTS,TRAFFIC SIGNAL,NONE DETECTED,,OTHER VEHICLE,,INTERSECTION,FOUR-WAY INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, NOT DIVIDED",39.20848167,-77.16943333,"(39.20848167, -77.16943333)"
MCP1465002T,17503917,Montgomery County Police,Property Damage Crash,04/24/2017 03:49:00 PM,No,Maryland (State),South,,2.0,West,0.0,FEET,LEVEL,SENECA RD,ENT TO CHURCH & SCHOOL,,,,DRIVER,HEAD ON LEFT TURN,RAINING,WET,DAYLIGHT,NO CONTROLS,NONE DETECTED,,OTHER VEHICLE,,COMMERCIAL DRIVEWAY,T-INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, NOT DIVIDED",39.10134,-77.29360333,"(39.10134, -77.29360333)"
MCP2270001H,230026094,Montgomery County Police,Property Damage Crash,05/31/2023 01:10:00 PM,No,County,North,,5.0,North,0.0,FEET,LEVEL,FALLS RD,RIVER RD,,,,DRIVER,HEAD ON LEFT TURN,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,,OTHER VEHICLE,,INTERSECTION,FOUR-WAY INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, UNPROTECTED PAINTED MIN 4 FEET",39.01799333,-77.20913333,"(39.01799333, -77.20913333)"
MCP3044005M,220042865,Montgomery County Police,Injury Crash,10/01/2022 07:12:00 PM,No,Maryland (State),West,,4.0,East,0.0,FEET,LEVEL,UNIVERSITY BLVD E,CARROLL AVE,,,,DRIVER,HEAD ON LEFT TURN,RAINING,WET,DARK LIGHTS ON,TRAFFIC SIGNAL,NONE DETECTED,,OTHER VEHICLE,PARKED VEHICLE,INTERSECTION,FOUR-WAY INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, UNPROTECTED PAINTED MIN 4 FEET",38.99435167,-76.99251333,"(38.99435167, -76.99251333)"
MCP29910024,170544514,Montgomery County Police,Injury Crash,11/23/2017 12:29:00 PM,No,Maryland (State),East,,2.0,South,0.5,FEET,LEVEL,LAYHILL RD,NORBECK RD,,,,DRIVER,HEAD ON LEFT TURN,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,,OTHER VEHICLE,OTHER VEHICLE,,FOUR-WAY INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.12045167,-77.03359667,"(39.12045167, -77.03359667)"
MCP24460035,170533284,Montgomery County Police,Injury Crash,09/26/2017 06:55:00 PM,No,Maryland (State),West,LEFT TURN LANE,1.0,East,0.0,FEET,LEVEL,LAYTONSVILLE RD,BRINK RD,,,,DRIVER,HEAD ON LEFT TURN,CLEAR,DRY,DUSK,TRAFFIC SIGNAL,NONE DETECTED,,OTHER VEHICLE,,INTERSECTION,FOUR-WAY INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, NOT DIVIDED",39.21201167,-77.14226167,"(39.21201167, -77.14226167)"
MCP2765005P,210013280,Montgomery County Police,Property Damage Crash,04/09/2021 04:20:00 PM,No,Maryland (State),East,,3.0,East,0.0,FEET,GRADE DOWNHILL,VEIRS MILL RD,MEADOW HALL DR,,ROCKVILLE,,DRIVER,HEAD ON LEFT TURN,CLEAR,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,,OTHER VEHICLE,,INTERSECTION,FOUR-WAY INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.07428167,-77.11392833,"(39.07428167, -77.11392833)"
MCP3226001Z,210045412,Montgomery County Police,Property Damage Crash,11/09/2021 03:54:00 PM,No,County,South,LEFT TURN LANE,1.0,South,0.0,FEET,LEVEL,SPARTAN RD,APPOMATTOX AVE,,,,DRIVER,HEAD ON LEFT TURN,CLEAR,DRY,DAYLIGHT,,NONE DETECTED,,OTHER VEHICLE,,INTERSECTION,FOUR-WAY INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, NOT DIVIDED",39.153404,-77.0603915,"(39.153404, -77.0603915)"
MCP23560028,220017005,Montgomery County Police,Injury Crash,04/21/2022 05:43:00 PM,No,County,South,,1.0,West,0.0,FEET,GRADE DOWNHILL,MOUTH OF MONOCACY RD,NICHOLSON FARM RD,,,,DRIVER,HEAD ON LEFT TURN,CLOUDY,WET,DAYLIGHT,,NONE DETECTED,,OTHER VEHICLE,,INTERSECTION,FOUR-WAY INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, NOT DIVIDED",39.22441833,-77.42608333,"(39.22441833, -77.42608333)"
MCP3070000R,19000001,Montgomery County Police,Injury Crash,12/31/2018 11:40:00 PM,No,County,West,,2.0,South,0.05,MILE,LEVEL,EXECUTIVE BLVD,E JEFFERSON ST (AHEAD),,,,DRIVER,HEAD ON LEFT TURN,RAINING,WET,DARK LIGHTS ON,TRAFFIC SIGNAL,"ALCOHOL CONTRIBUTED, N/A",,FIXED OBJECT,FIXED OBJECT,,T-INTERSECTION,CURVE RIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.0487,-77.12544833,"(39.0487, -77.12544833)"
MCP2617006V,190002565,Montgomery County Police,Property Damage Crash,01/16/2019 06:50:00 PM,No,Maryland (State),East,,3.0,East,0.0,FEET,HILL CREST,NORBECK RD,BALTIMORE RD,,,,DRIVER,HEAD ON LEFT TURN,,WET,DARK LIGHTS ON,TRAFFIC SIGNAL,NONE DETECTED,,OTHER VEHICLE,,INTERSECTION,T-INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.05769833,-77.05041667,"(39.05769833, -77.05041667)"
MCP3195001T,210001157,Montgomery County Police,Property Damage Crash,01/09/2021 09:19:00 PM,No,US (State),North,,6.0,North,0.0,FEET,LEVEL,COLUMBIA PIKE,STEWART LA,,,,DRIVER,HEAD ON LEFT TURN,CLEAR,DRY,DARK LIGHTS ON,TRAFFIC SIGNAL,,,OTHER VEHICLE,,INTERSECTION,FOUR-WAY INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.04607183,-76.98674283,"(39.04607183, -76.98674283)"
MCP2885001Q,17001939,Montgomery County Police,Property Damage Crash,01/11/2017 11:24:00 PM,No,County,South,,1.0,East,0.0,FEET,LEVEL,HEATHFIELD RD,LONDON LA,,,,DRIVER,HEAD ON LEFT TURN,RAINING,WET,DARK LIGHTS ON,STOP SIGN,NONE DETECTED,,OTHER VEHICLE,,INTERSECTION,FOUR-WAY INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, NOT DIVIDED",39.087325,-77.08039333,"(39.087325, -77.08039333)"
MCP15340007,210034238,Montgomery County Police,Injury Crash,09/01/2021 02:10:00 PM,No,County,East,ACCELERATION LANE,4.0,East,0.0,FEET,LEVEL,WESTLAKE TERR,ROCKLEDGE DR,,,,DRIVER,HEAD ON LEFT TURN,RAINING,WET,OTHER,TRAFFIC SIGNAL,NONE DETECTED,,OTHER VEHICLE,OTHER VEHICLE,INTERSECTION,T-INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, UNPROTECTED PAINTED MIN 4 FEET",39.02638667,-77.13947833,"(39.02638667, -77.13947833)"
EJ7895004Q,230062862,Gaithersburg Police Depar,Property Damage Crash,10/27/2023 11:55:00 AM,No,Maryland (State),South,,3.0,East,0.0,FEET,GRADE DOWNHILL,DARNESTOWN RD,ENT TO POTOMAC VALLEY SHOPPING CTR,,,,DRIVER,HEAD ON LEFT TURN,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,,OTHER VEHICLE,,INTERSECTION,FOUR-WAY INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.11728987,-77.251169,"(39.11728987, -77.251169)"
MCP32700018,210042230,Montgomery County Police,Property Damage Crash,10/20/2021 08:34:00 PM,No,County,West,,1.0,East,0.0,FEET,LEVEL,WAYNE AVE,FENTON ST,,,,DRIVER,HEAD ON LEFT TURN,CLEAR,DRY,DARK LIGHTS ON,TRAFFIC SIGNAL,NONE DETECTED,,OTHER VEHICLE,,INTERSECTION,FOUR-WAY INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, NOT DIVIDED",38.99561167,-77.02418167,"(38.99561167, -77.02418167)"
MCP209400LV,230021119,Montgomery County Police,Injury Crash,05/03/2023 11:30:00 AM,No,Maryland (State),South,,2.0,North,0.0,FEET,LEVEL,OLD GEORGETOWN RD,RAMP 5 FR MD 187 SB TO RAMP 4 (TO IS495),,,,DRIVER,HEAD ON LEFT TURN,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,,OTHER VEHICLE,,INTERSECTION,OTHER,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.01667167,-77.11965333,"(39.01667167, -77.11965333)"
MCP2961004C,230051001,Montgomery County Police,Property Damage Crash,08/24/2023 05:30:00 AM,No,Maryland (State),South,,3.0,North,0.0,FEET,LEVEL,LAYHILL RD,BEL PRE RD,,,,DRIVER,HEAD ON LEFT TURN,CLEAR,DRY,DARK LIGHTS ON,TRAFFIC SIGNAL,NONE DETECTED,,OTHER VEHICLE,,INTERSECTION,FOUR-WAY INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.09056751,-77.04490783,"(39.09056751, -77.04490783)"
MCP2931002H,180032150,Montgomery County Police,Injury Crash,06/29/2018 07:43:00 PM,No,County,West,,3.0,East,0.0,FEET,LEVEL,MONTROSE RD,TOWER OAKS BLVD,,ROCKVILLE,,DRIVER,HEAD ON LEFT TURN,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,,,OTHER VEHICLE,OTHER VEHICLE,INTERSECTION,FOUR-WAY INTERSECTION,STRAIGHT,,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.055745,-77.14948,"(39.055745, -77.14948)"
MCP2879001H,170526884,Montgomery County Police,Property Damage Crash,08/25/2017 08:38:00 PM,No,County,West,OTHER,3.0,North,0.0,FEET,LEVEL,SHADY GROVE RD,CRABBS BRANCH WAY,,,,DRIVER,HEAD ON LEFT TURN,CLEAR,DRY,DARK LIGHTS ON,TRAFFIC SIGNAL,NONE DETECTED,,OTHER VEHICLE,OTHER VEHICLE,INTERSECTION,FOUR-WAY INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.12763167,-77.16678333,"(39.12763167, -77.16678333)"
MCP3058001F,180007427,Montgomery County Police,Injury Crash,02/12/2018 08:40:00 PM,No,County,South,,1.0,North,0.0,FEET,LEVEL,SEVEN LOCKS RD,TUCKERMAN LA,,,,DRIVER,HEAD ON LEFT TURN,CLEAR,DRY,DARK LIGHTS ON,TRAFFIC SIGNAL,NONE DETECTED,,OTHER VEHICLE,,INTERSECTION,FOUR-WAY INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.04028667,-77.15911667,"(39.04028667, -77.15911667)"
DM8386001J,210043969,Takoma Park Police Depart,Injury Crash,10/31/2021 03:38:00 PM,No,Maryland (State),East,,1.0,East,0.0,FEET,LEVEL,ETHAN ALLEN AVE,ELM AVE,,TAKOMA PARK,,DRIVER,HEAD ON LEFT TURN,CLEAR,DRY,DAYLIGHT,NO CONTROLS,"NONE DETECTED, UNKNOWN",,OTHER VEHICLE,,INTERSECTION,FOUR-WAY INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, NOT DIVIDED",38.97621333,-76.99680333,"(38.97621333, -76.99680333)"
DD56110068,190028608,Rockville Police Departme,Property Damage Crash,06/15/2019 12:00:00 PM,No,Municipality,East,,2.0,West,0.0,FEET,LEVEL,HALPINE RD,ROCKVILLE PIKE,,,,DRIVER,HEAD ON LEFT TURN,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,,OTHER VEHICLE,,INTERSECTION,FOUR-WAY INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.061125,-77.12578,"(39.061125, -77.12578)"
MCP2411003N,190038906,Montgomery County Police,Injury Crash,08/14/2019 09:20:00 PM,No,Municipality,West,LEFT TURN LANE,3.0,East,0.0,FEET,GRADE DOWNHILL,E MIDDLE LA,N WASHINGTON ST,,ROCKVILLE,,DRIVER,HEAD ON LEFT TURN,CLEAR,DRY,DARK -- UNKNOWN LIGHTING,TRAFFIC SIGNAL,NONE DETECTED,,OTHER VEHICLE,,INTERSECTION,FOUR-WAY INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.0850354,-77.15285724,"(39.0850354, -77.15285724)"
MCP3299001B,220004091,Montgomery County Police,Injury Crash,01/31/2022 07:39:00 AM,No,County,East,,3.0,East,0.0,FEET,LEVEL,RANDOLPH RD,MIDDLEVALE LA,,,,DRIVER,HEAD ON LEFT TURN,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,,OTHER VEHICLE,,INTERSECTION,FOUR-WAY INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.064134,-77.03964417,"(39.064134, -77.03964417)"
MCP3121004Y,220032499,Montgomery County Police,Property Damage Crash,07/28/2022 05:35:00 PM,No,County,West,,1.0,South,50.0,FEET,LEVEL,WATKINS MILL RD,KINDLY CT,,,,DRIVER,HEAD ON LEFT TURN,CLEAR,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,,OTHER VEHICLE,PARKED VEHICLE,NON INTERSECTION,,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, UNPROTECTED PAINTED MIN 4 FEET",39.16965517,-77.20917167,"(39.16965517, -77.20917167)"
MCP3068003Z,220014496,Montgomery County Police,Injury Crash,04/05/2022 03:19:00 PM,No,County,West,,2.0,West,0.0,FEET,LEVEL,DEMOCRACY BLVD,SEVEN LOCKS RD,,,,DRIVER,HEAD ON LEFT TURN,RAINING,WET,DAYLIGHT,TRAFFIC SIGNAL,,,OTHER VEHICLE,,INTERSECTION,FOUR-WAY INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, NOT DIVIDED",39.02337833,-77.16252667,"(39.02337833, -77.16252667)"
MCP32540017,210039702,Montgomery County Police,Property Damage Crash,10/01/2021 11:18:00 PM,No,County,East,LEFT TURN LANE,2.0,North,0.0,FEET,GRADE DOWNHILL,CENTURY BLVD,MIDDLEBROOK RD,,,,DRIVER,HEAD ON LEFT TURN,CLEAR,DRY,DARK LIGHTS ON,TRAFFIC SIGNAL,NONE DETECTED,,OTHER VEHICLE,,INTERSECTION,FOUR-WAY INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, UNPROTECTED PAINTED MIN 4 FEET",39.18028493,-77.26844114,"(39.18028493, -77.26844114)"
