wiki_title,wiki_url,company_type,traded_as,founded,headquarters,num_locations,area_served,key_people,services,revenue,operating_income,net_income,total_assets,total_equity,num_employees,subsidiaries,website,founders,formerly,products,isin
Amylyx Pharmaceuticals,https://en.wikipedia.org/wiki/Amylyx_Pharmaceuticals,Public,Nasdaq: AMLX,2013; 12 years ago (2013),"Cambridge, Massachusetts",,,Joshua CohenJustin Klee,,,,,,,,,www.amylyx.com,Joshua CohenJustin Klee,,,US03237H1014
Arcturus Therapeutics,https://en.wikipedia.org/wiki/Arcturus_Therapeutics,Public,Nasdaq: ARCT,2013; 12 years ago (2013),"San Diego, California, US",,,"Joseph Payne (president, CEO & director of the board)Padmanabh Chivukula (CSO & COO)Andrew Sassine (CFO)",,$21 Million(2019),,,,,124,,www.arcturusrx.com,Joseph Payne and Pad Chivukula,,"ARCT-810 for treatment of OTCD; received FDA Orphan Drug Status on 27 July 2019; Phase 1 Clinical Trials in Healthy Volunteers Initiated on 05 June 2020, ARCT-021 Vaccine for COVID-19; Phase 1/2 Initiated 22 July 2020, Phase 2 Initiated 9 January 2021",
Niagen Bioscience,https://en.wikipedia.org/wiki/Niagen_Bioscience,Public,Nasdaq: NAGERussell 2000 Index component,1999,"Los Angeles, California, United States",,,"Rob Fried(CEO)Frank Jaksch(Cofounder, Executive Chairman)",,,,,,,,,https://www.niagenbioscience.com/,,,Tru Niagen Niagen Plus,
Vericel,https://en.wikipedia.org/wiki/Vericel,Public,Nasdaq: VCELRussell 2000 componentS&P 600 component,"1989; 36 years ago (1989) in Ann Arbor, Michigan, United States","Cambridge, Massachusetts, United States",2,,Nick Colangelo (CEO)Daniel Orlando (COO)Gerard Michel (CFO),,,,,,,,,,,"Aastrom Biosciences, Inc.",MACIEpicelCarticel,
Ginkgo Bioworks,https://en.wikipedia.org/wiki/Ginkgo_Bioworks,Public,NYSE: DNA (Class A),"2008; 17 years ago (2008) in Boston, Massachusetts, U.S.","Boston, Massachusetts, U.S.",,,Shyam Sankar (chairman)Jason Kelly (CEO),,US$227 million (2024),US$−560 million (2024),US$−547 million (2024),US$1.38 billion (2024),US$716 million (2024),834 (2024),,ginkgobioworks.com,"Tom Knight, Jason Kelly, Reshma Shetty, Barry Canton, Austin Che",,,
Lisata Therapeutics,https://en.wikipedia.org/wiki/Lisata_Therapeutics,Public,Nasdaq: LSTA,,"Basking Ridge, New Jersey, United States",,,David J. Mazzo (CEO),,,,,,,,,lisata.com,,,,
Medical cannabis,https://en.wikipedia.org/wiki/Medical_cannabis,,,,,,,,,,,,,,,,,,,,
Ligand Pharmaceuticals,https://en.wikipedia.org/wiki/Ligand_Pharmaceuticals,Public,Nasdaq: LGNDS&P 600 component,September 1987; 38 years ago (1987-09),"Jupiter, Florida, U.S.",,,Todd C. Davis (CEO),,US$167.13 million (FY24),,,,,68 (2024),,ligand.com,Brook Byers,,,
Qiagen,https://en.wikipedia.org/wiki/Qiagen,Public (Naamloze vennootschap),NYSE: QGENFWB: QIARussell 1000 componentDAX component,"November 29, 1984; 40 years ago (1984-11-29)","Venlo, Netherlands (corporate)Hilden, Germany (operational)",,,Thierry Bernard (CEO)Lawrence A. Rosen (chairman of supervisory board),,US$1.97 billion (2023),US$410 million (2023),US$341 million (2023),US$6.12 billion (2023),US$3.81 billion (2023),"5,967 (2023)",,qiagen.com,Metin ColpanKarsten HencoJürgen Schumacher,,,NL0015001WM6
Immutep,https://en.wikipedia.org/wiki/Immutep,Public,Nasdaq: IMMPASX: IMM,2001,"Sydney, AustraliaLeipzig, Germany",,,Marc Voigt(CEO)Frédéric Triebel(Chief Scientific and Medical Officer),,,,,,,,,www.immutep.com,,,"IMP321, GSK2831781, CVac LAG-3 Immunotherapy",
Natera,https://en.wikipedia.org/wiki/Natera,Public,Nasdaq: NTRARussell 1000 component,2004; 21 years ago (2004),"Austin, Texas, U.S.",,,Steve Chapman (CEO)Rishi Kacker (CTO)Matthew Rabinowitz (executive chairman),,US$797 million (2022),US$−541 million (2022),US$−548 million (2022),US$1.39 billion (2022),US$706 million (2022),"3,018 (2022)",,natera.com,Matthew RabinowitzJonathan Sheena,"Gene Security Network, Inc. (2004–2012)",,
Esperion Therapeutics,https://en.wikipedia.org/wiki/Esperion_Therapeutics,Public,Nasdaq: ESPRRussell 2000 Component,2008; 17 years ago (2008),"Ann Arbor, Michigan",,,Sheldon Koenig (president and CEO),,,,US$269.1 million (2020),US$381.6 million (2020),,,,Esperion.com,Dr. Roger Newton,,,
West Pharmaceutical Services,https://en.wikipedia.org/wiki/West_Pharmaceutical_Services,Public,NYSE: WSTS&P 500 component,1923,"Exton, Pennsylvania, U.S.",,,"Eric M. Green (CEO since 2015) Silji Abraham (CDO since 2018) Bernard J. Birkett (CFO since 2018) Annette F. Favorite (CHRO since 2015) Quintin J. Lai (Corporate Development, Strategy and Investor Relations since 2016) George L. Miller (GC and CS since 2015) David A. Montecalvo (COO and SCO since 2019) Eric Resnick (CTO since 2016)",,"US$1,849.9 million (2019)",US$296.6 million (2019),US$241.7 million (2019),,,"8,200 (2019)",,westpharma.com,,,,
Immunome,https://en.wikipedia.org/wiki/Immunome,,,,,,,,,,,,,,,,,,,,
Edwards Lifesciences,https://en.wikipedia.org/wiki/Edwards_Lifesciences,Public,NYSE: EWS&P 500 component,1958; 67 years ago (1958),"Irvine, California, U.S.",,Worldwide,Bernard J. Zovighian (CEO),,US$5.44 billion (2024),US$1.38 billion (2024),US$4.17 billion (2024),US$13.1 billion (2024),US$10.1 billion (2024),"15,800 (2024)",,edwards.com,,,Heart valves Critical care technology Cardiac surgery technology,
ATyr Pharma,https://en.wikipedia.org/wiki/ATyr_Pharma,Public,Nasdaq: LIFERussell Microcap Index component,2005; 20 years ago (2005),"San Diego, California, United States",,,Sanjay S Shukla (CEO & President),,,,,,,55,,atyrpharma.com,Paul SchimmelXiang-Lei Yang,,,
Tandem Diabetes Care,https://en.wikipedia.org/wiki/Tandem_Diabetes_Care,Public,Nasdaq: TNDMS&P 600 component,"2006; 19 years ago (2006), in San Diego, California","San Diego, California, U.S.",,,Kim Blickenstaff (executive chairman)John F. Sheridan (president and CEO),,US$362 million (2019) US$183.4 million (2018),,,,,"1,500 (2020)",,tandemdiabetes.com,,,,
Alcon,https://en.wikipedia.org/wiki/Alcon,Public,SIX: ALCNYSE: ALC,"1945; 80 years ago (1945) in Fort Worth, Texas, US","Geneva, Switzerland",,,David Endicott (CEO),,US$9.91 billion (2024),US$1.41 billion (2024),US$1.02 billion (2024),US$30.3 billion (2024),US$21.6 billion (2024),"25,599 (FTE, 2024)",,alcon.com,,,Surgical productsContact lensesOver-the-counter products,
Medpace,https://en.wikipedia.org/wiki/Medpace,Public,Nasdaq: MEDPS&P 400 component,1992; 33 years ago (1992),"Cincinnati, Ohio, U.S.",,Over 40 countries (2023),August J. Troendle (CEO & chairman of the board of directors),,US$2.11 billion (2024),,,,,"6,041 (2025)",,medpace.com,,Medical Research Services (1992-bef.2014),"Support services for pharmaceutical, biotech, and medical device companies",
Centene Corporation,https://en.wikipedia.org/wiki/Centene_Corporation,Public,NYSE: CNCS&P 500 component,1984; 41 years ago (1984),"St. Louis, Missouri, U.S.",,,Sarah London (CEO)Susan Smith (COO),Health care providerPharmacy benefit manager,US$163 billion (2024),US$3.18 billion (2024),US$3.31 billion (2024),US$82.4 billion (2024),US$26.4 billion (2024),"60,500 (2024)",,www.centene.com,"Elizabeth ""Betty"" Brinn",,,
Hologic,https://en.wikipedia.org/wiki/Hologic,Public,Nasdaq: HOLXS&P 500 component,1985; 40 years ago (1985),"Marlborough, Massachusetts, U.S.",,,"Stephen P. MacMillan (Chairman, President, CEO)Karleen Marie Oberton (CFO)Jay A. Stein (Chairman-Emeritus, CTO, SVP)",,US$4.86 billion (2022)US$5.63 billion (2021),US$1.64 billion (2022)US$2.48 billion (2021),US$1.30 billion (2022)US$1.87 billion (2021),US$9.07 billion (2022)US$8.92 billion (2021),US$4.88 billion (2022)US$4.22 billion (2021),"6,944 (2022)",Endomag,hologic.com,,,,
LeMaitre Vascular,https://en.wikipedia.org/wiki/LeMaitre_Vascular,Public,Nasdaq: LMATS&P 600 Component,"January 15, 1986; 39 years ago (1986-01-15) in Burlington, Massachusetts","Burlington, Massachusetts, U.S.",,,"George W. LeMaitre, Chairman and CEO Dorian P. LeBlanc, CFO David B. Roberts, President",,,US$52.3.million (2024),US$44.0 million (2024),US$551.82 million (2024),US$337.29 million (2024),651 (2024),,www.lemaitre.com,George D. LeMaitre,,,
The Cooper Companies,https://en.wikipedia.org/wiki/The_Cooper_Companies,Public,Nasdaq: COOS&P 500 component,1958; 67 years ago (1958),"San Ramon, California, U.S.",,Worldwide,Albert G. White III(President & CEO),,,"507,600,000 United States dollar (2022)","385,800,000 United States dollar (2022)",,,"approx. 15,000 (October 2023)",,coopercos.com,,,Medical Devices,
Universal Health Services,https://en.wikipedia.org/wiki/Universal_Health_Services,Public,NYSE: UHS (Class B)S&P 500 component,"April 1979; 46 years ago (1979-04)King of Prussia, Pennsylvania, U.S.","King of Prussia, Pennsylvania, U.S.",,,Alan B. Miller(Founder and Executive Chairman)Marc D. Miller(President and CEO)Steve G. Filton(Executive Vice President and CFO),,,,,,,"99,000 (2024)","Alpha Hospital Group Ascend Health Corporation Cygnet Health Care Foundations Recovery Network Palo Verde Behavioral Health Psychiatric Institute of Washington Psychiatric Solutions, Inc.",uhs.com,,,,
Alnylam Pharmaceuticals,https://en.wikipedia.org/wiki/Alnylam_Pharmaceuticals,Public,Nasdaq: ALNYRussell 1000 component,2002; 23 years ago (2002),"Cambridge, Massachusetts, U.S.",,,Yvonne Greenstreet (CEO),,US$1.83 billion (2023) US$1.04 billion (2022),,,,,"2,100 (2023)",,alnylam.com,,,,
Gilead Sciences,https://en.wikipedia.org/wiki/Gilead_Sciences,Public,Nasdaq: GILDNasdaq Biotechnology componentNasdaq-100 componentS&P 100 componentS&P 500 component,"June 22, 1987; 38 years ago (1987-06-22)","Foster City, California, United States",,Worldwide,"Daniel O'Day (chairman and CEO)Andrew Dickinson (CFO)Tomáš Cihlář (vice president, and senior director, Biology)",,US$28.75 billion (2024),US$1.662 billion (2024),US$480 million (2024),US$58.99 billion (2024),US$19.25 billion (2024),"17,600 (2024)",,gilead.com,Michael L. Riordan,,AmBisome Atripla Biktarvy Complera Cayston Descovy Emtriva Epclusa Genvoya Harvoni Hepsera Letairis Lexiscan Macugen Odefsey Ranexa Sovaldi Stribild Tamiflu Truvada Tybost Veklury Vemlidy Viread Vosevi Yescarta Zydelig,
American Battery Technology Company,https://en.wikipedia.org/wiki/American_Battery_Technology_Company,,Nasdaq: ABAT,2011; 14 years ago (2011),United States,,United States,,,,,,,,,,americanbatterytechnology.com,,,,
African Energy Chamber,https://en.wikipedia.org/wiki/African_Energy_Chamber,,,2018,,,,,,,,,,,,,energychamber.org,,,,
Almonty Industries,https://en.wikipedia.org/wiki/Almonty_Industries,Public,Nasdaq: ALMTSX: AII,2011; 14 years ago (2011),"Toronto, Canada",,,"Lewis Black (CEO)Daniel D'Amato, (Director) Mark Trachuk, (Director) Dr. Thomas Guschlag (Director) Mark Gelmon, (Director and CFO)Marion McGrath, (Corporate Secretary)",,,,,,,400,,www.almonty.com,,,"Tungsten, tin, copper and molybdenum concentrates",
American Woodmark,https://en.wikipedia.org/wiki/American_Woodmark,Public,Nasdaq: AMWDS&P 600 Component,1980; 45 years ago (1980),"Winchester, Virginia, United States",,US,M. Scott Culbreth (CEO),Cabinetry installation,US$1.25B(FY 2018),US$69.9M (FY 2018),US$63.1M (FY 2018),US$1.65B (FY 2018),US$581M (FY 2018),"10,070",,americanwoodmark.com,Bill BrandtAl GraberJeff HolcombDon Mathias,,Cabinets,
Blue Peter badge,https://en.wikipedia.org/wiki/Blue_Peter_badge,,,,,,,,,,,,,,,,,,,,
Special Metals Corporation,https://en.wikipedia.org/wiki/Special_Metals_Corporation,,,1998; 27 years ago (1998),,,,,,,,,,,590 (1997),,specialmetals.com,,,"Inconel, Incoloy, Monel, Nimonic, Udimet",
Devon Energy,https://en.wikipedia.org/wiki/Devon_Energy,Public,NYSE: DVNS&P 500 component,1971; 54 years ago (1971),"Devon Energy Center, Oklahoma City, Oklahoma, U.S.",,,Clay Gaspar (CEO & president)Jeffrey L. Ritenour (CFO),,US$15.9 billion (2024),,US$2.89 billion (2024),US$30.5 billion (2024),US$14.5 billion (2024),"2,300 (2024)",,devonenergy.com,John NicholsJ. Larry Nichols,,PetroleumNatural gasNatural gas liquids,
Linde plc,https://en.wikipedia.org/wiki/Linde_plc,Public,Nasdaq: LINNasdaq-100 componentS&P 100 componentS&P 500 component,21 June 1879; 146 years ago (1879-06-21),"Woking, United Kingdom (principal executive offices)Dublin, Ireland(legal domicile)",,,Sanjiv Lamba (CEO)Steve Angel (chairman)Matthew J. White (CFO),,US$33.01 billion (2024),US$8.635 billion (2024),US$6.565 billion (2024),US$80.15 billion (2024),US$38.09 billion (2024),"65,289 (2024)","Praxair, Lincare Holdings, BOC, Afrox, American HomePatient, NuCo2, AUECC, GTG Plin, Nauticor",linde.com,Carl von Linde,,"Industrial gas production, medical gas and air separation physical plant engineering, logistics services",IE000S9YS762
Snow Lake lithium mine,https://en.wikipedia.org/wiki/Snow_Lake_lithium_mine,,,,,,,,,,,,,,,,,,,,
Mercer (consulting firm),https://en.wikipedia.org/wiki/Mercer_(consulting_firm),Subsidiary,,1945; 80 years ago (1945),New York City,180 cities in 43 countries,,Pat Tomlinson (president and CEO),,"5,021,000,000 United States dollar (2019)",,,,,"25,000 (2019)",,,,,"Asset management, including retirement, health & benefits, human capital, surveys & products, communication, investments, outsourcing, and mergers & acquisitions",
Aura Minerals,https://en.wikipedia.org/wiki/Aura_Minerals,Public(TSX: ORA),,1946,"Road Town, British Virgin Islands",,,"Paulo Carlos de Brito, Chair Rodrigo Barbosa, President and CEO",,US$ 150 million (2017),,,,,,"Minerales de Occidente S.A. de C.V., San Andres (Honduras) Ltd., Apoena Minerals (B.V.I.) Inc., Aranzazú Holding S.A. de C.V.",www.auraminerals.com,,"Baldwin Consolidated Mines Limited (1946-89), Canadian Baldwin Holdings Limited (1989-2005), Aura Gold (2006-07)","Gold, copper",
Sigma SD9,https://en.wikipedia.org/wiki/Sigma_SD9,Digital single-lens reflex,,,,,,,,,,,,,,,,,,,
UFP Industries,https://en.wikipedia.org/wiki/UFP_Industries,Public,Nasdaq: UFPIS&P 400 component,1955; 70 years ago (1955),"Grand Rapids, Michigan, U.S.",219 Facilities,,William Currie (Chairman)Will Schwartz (CEO)William Schwartz (President of Retail Solutions)Patrick Webster (president & COO (retired)),,US$8.6 billion (2021),,,,,"15,000 (December 2021)",,ufpi.com,,"Universal Forest Products, Inc.","Trim and mouldingLumber and panelsDecking, railings, accessoriesFencingManufactured housing productsIndustrial packagingLawn and garden accessories",
USA Rare Earth,https://en.wikipedia.org/wiki/USA_Rare_Earth,Public,Nasdaq: USAR,2019 (2019),"Stillwater, Oklahoma, United States",,,Barbara Humpton (CEO)Joshua Ballard (former CEO)Tom Schneberger(former CEO),,,,,,,,,www.usare.com,Pini Althaus,,Rare earth elements and neodymium-iron-boron magnets,
Air Products,https://en.wikipedia.org/wiki/Air_Products,Public,NYSE: APDS&P 500 component,"1940; 85 years ago (1940) in Detroit, Michigan, U.S.","Allentown, Pennsylvania, U.S.",,Worldwide,Wayne T. Smith (chairman)Eduardo F. Menezes (CEO),,US$12.1 billion (2024),US$4.47 billion (2024),US$3.86 billion (2024),US$39.6 billion (2024),US$18.7 billion (2024),"c. 23,000 (2024)",,airproducts.com,Leonard P. Pool,,,
AngloGold Ashanti,https://en.wikipedia.org/wiki/AngloGold_Ashanti,Public company,JSE: ANGNYSE: AU,2004; 21 years ago (2004)(by merger with Henderson Group),"Johannesburg, South Africa",,Worldwide,Maria Ramos(chairman of the board)Christine Ramon(Interim CEO),,US$4.400 billion (2020),US$1.918 billion (2020),US$1.000 billion (2020),US$9.532 billion (2020),US$4.989 billion (2020),"70,000 – June 2020",,www.anglogoldashanti.com,,,GoldSilverUranium oxide,GB00BRXH2664
Barrick Mining,https://en.wikipedia.org/wiki/Barrick_Mining,Public,NYSE: B TSX: ABX S&P/TSX 60 component,1983; 42 years ago (1983),,,,"John L. Thornton (Chairman) Mark Hill (Interim CEO, COO)",,US$12.922 billion (2024),US$4.491 billion (2024),US$3.088 billion (2024),US$47.626 billion (2024),US$33.256 billion (2024),"(26,800 employees, 27,000 contractors)",,www.barrick.com,Peter Munk,Barrick Resources Corporation (1983-1985)American Barrick Resources Corporation (1985-1995)Barrick Gold Corporation (1995-2025),"Gold, copper",
Cameco,https://en.wikipedia.org/wiki/Cameco,Public,TSX: CCONYSE: CCJS&P/TSX 60 component,1988; 37 years ago (1988),"Saskatoon, Saskatchewan, Canada",,,Catherine Gignac (Board Chair) Tim Gitzel (Chief Executive Officer),,CA$1.475 billion (2021),,,,,"2,640 (2023)",,www.cameco.com,,Canadian Mining and Energy Corporation,"Uranium, electricity",
Coeur Mining,https://en.wikipedia.org/wiki/Coeur_Mining,Public,NYSE: CDERussell 2000 Component,1928,"Chicago, Illinois, United States",,,"Mitchell J. Krebs, President and CEORobert E. Mellor, Chairman of the Board<",,US$665.777 million (2016),US$69.104 million (2016),US$55.352 million (2016),,,"1898 (December 31, 2012)",,www.coeur.com,,,"Silver, gold",
Centerra Gold,https://en.wikipedia.org/wiki/Centerra_Gold,Public,TSX: CGNYSE: CGAU,"November 7, 2002","Toronto, Ontario, Canada",,,"Leonard Homeniuk (CEO, 2002-08)Stephen Lang (CEO, 2008-12)Scott Perry (CEO, 2015-2022) Paul Tomory (CEO, 2023-Present)",,US$1.3 billion (2019),,,,,,"Centerra Gold Services (Canada),Thompson Creek Metals Company (Canada),Centerra Luxembourg Holdings, Centerra Exploration B.V. (Netherlands), Öksüt Madencilik Sanayi (Turkey),AuRico Metals (Canada)",www.centerragold.com,,,"Gold, copper, molybdenum",
Cleveland-Cliffs,https://en.wikipedia.org/wiki/Cleveland-Cliffs,Public,NYSE: CLFS&P 400 component,"1847; 178 years ago (1847) as Cleveland Iron Company in Cleveland, Ohio, United States","200 Public Square, Cleveland, Ohio, U.S.",,,"C. Lourenco Goncalves, Chairman, CEO & PresidentCelso Goncalves, CFOClifford T. Smith, COO",,US$19.2 billion (2024),US$−756 million (2024),US$−754 million (2024),US$20.9 billion (2024),US$6.66 billion (2024),"30,000 (2024)",Lake Superior and Ishpeming RailroadStelco,clevelandcliffs.com,Samuel Mather and associates,Cliffs Natural Resources Inc. (2008-2017),SteelIron ore pelletsDirect reduced ironStainless steel,
Clearwater Paper,https://en.wikipedia.org/wiki/Clearwater_Paper,Public,NYSE: CLW,2008,"Spokane, Washington, U.S.",,,Arsen Kitch (CEO),,$2 billion in sales,,,,,,,clearwaterpaper.com,,,"Pulp, paperboard",
Drdgold,https://en.wikipedia.org/wiki/Drdgold,Public,NYSE: DRD (ADR),1895,"Weltevreden Park, Johannesburg, South Africa",,,"Timothy Cumming, Chairman Niël Pretorius, CEO Riaan Davel, CFO",,,,,,,,,www.drdgold.com//,,Durban Roodepoort Deep Limited,"gold, silver",
Fortune Brands Innovations,https://en.wikipedia.org/wiki/Fortune_Brands_Innovations,Public,NYSE: FBINS&P 400 component,2011; 14 years ago (2011),"Deerfield, Illinois, U.S.",,,"Nicholas I. Fink, CEO",,US$7.7 billion (2021),,US$1.1 billion (2021),US$7.9 billion (2021),US$3.1 billion (2021),"28,000 (2021)",Moen IncorporatedHouse of RohlTherma-TruLarsonFiberonMaster LockSentry GroupMasterBrand Cabinets,fbin.com,,"Fortune Brands Home & Security, Inc.",Home & Security,
Freeport-McMoRan,https://en.wikipedia.org/wiki/Freeport-McMoRan,Public,NYSE: FCXS&P 500 component,1912; 113 years ago (1912),"Freeport-McMoRan Center, Phoenix, Arizona, U.S.",,Worldwide,Richard Adkerson(Chairman)Kathleen L. Quirk(President & CEO),,US$25.5 billion (2024),US$6.86 billion (2024),US$1.89 billion (2024),US$54.8 billion (2024),US$17.6 billion (2024),"28,500 (2024)","Atlantic Copper, S.A.PT Freeport Indonesia (49%)PT Irja Eastern Minerals",fcx.com,"Eric Pierson Swenson, et al",,CopperGoldMolybdenum,
Franco-Nevada,https://en.wikipedia.org/wiki/Franco-Nevada,Public,TSX: FNV (2007)NYSE: FNV (2011) S&P/TSX 60 component,,"Toronto, Canada",,,"David Harquail (Chair), Paul Brink (President & CEO), Sandip Rana (CFO)",,US$1.300 billion (2021),US$861 million (2021),US$734 million (2021),$6.210 bil.(2021),$6.025 bil. (2021),,,www.franco-nevada.com,,,Gold Royalties and Streams,
Fortuna Mining,https://en.wikipedia.org/wiki/Fortuna_Mining,Public,NYSE: FSMTSX: FVIS&P/TSX Composite Component,2005,"Corporate office: Vancouver, Canada Latin America head office: Lima, Peru West Africa head office: Abidjan, Côte d’Ivoire, Canada",,,"David Laing (Chairman)Jorge Ganoza ((Chief executive officer, President, and Director)",,,,,,,,,Official Website,Simon RidgwayMario SzotlenderJorge Ganoza,,"Gold, silver, lead, and zinc",
Gold Fields,https://en.wikipedia.org/wiki/Gold_Fields,Public,JSE: GFINYSE: GFI (ADR),1887; 138 years ago (1887) (as Gold Fields of South Africa)1998; 27 years ago (1998) (merger with Gencor),"Johannesburg, South Africa","South Africa (one mine), Ghana (two mines), Australia (four mines), Peru (one mine), Canada (one project), Chile (one mine)",,Yunus Suleman (chairperson)Mike Fraser (CEO)Alex Dall (Interim CFO),,$ 4.286 billion (FY 2022),,$ 721.7 million (FY 2022),,,"17,611 (FY 2018)",,www.goldfields.com,,,Gold,
Harmony Gold (mining),https://en.wikipedia.org/wiki/Harmony_Gold_(mining),Public,JSE: HMY,1950; 75 years ago (1950),"Melrose Arch, Johannesburg, South Africa",,Worldwide,Patrice Motsepe (Chairman)Peter Steenkamp (CEO)Beyers Nel (COO),,R42.65 billion (2022),,,,,"47,373 (2022)",,harmony.co.za,,,Minerals,ZAE000015228
Iamgold,https://en.wikipedia.org/wiki/Iamgold,Public,TSX: IMGNYSE: IAG,"March 27, 1990 (35 years ago) (1990-03-27)","Toronto, Ontario, Canada",3 mines,,David Smith (Chair of the Board)Renaud Adams (President & CEO)Maarten Theunissen (CFO),,US$1.095 billion (2017),US$580.0 million (2017),US$510.5 million (2017),"US$3,966.9 million (2017)","US$2,846.8 million (2017)","4,832",Essakane S.A.Merrex Gold Inc.Euro Ressources S.A.,iamgold.com,Mark I. NathansonWilliam D. Pugliese,International African Mining Gold Corporation,Gold,
International Paper,https://en.wikipedia.org/wiki/International_Paper,Public,NYSE: IPS&P 500 component DJIA component (until 2004),"1898; 127 years ago (1898) in Corinth, New York, United States","Memphis, Tennessee, United States",,Worldwide,Andrew Silvernail (CEO),,US$18.6 billion (2024),US$255 million (2024),US$557 million (2024),US$22.8 billion (2024),US$8.17 billion (2024),"37,000 (2024)","Temple-Inland, CMCP, Cartón y Papel Reciclado S.A., Cartonajes Union S.L., ZAO, Weldwood of Canada, Castell, L.P., Sustainable Forests, Bolsaflex",internationalpaper.com,Hugh J. Chisholm William A. Russell,,,
Jeld-Wen,https://en.wikipedia.org/wiki/Jeld-Wen,Public,NYSE: JELDRussell 2000 Component,1960,"Charlotte, North Carolina",,,"Bill Christensen, CEO",,$4.29 billion (2019) $4.35 billion (2018),,US$ 357.5 million (2016) US$ 90.9 million (2015),,,"23,300 (2020)",,www.jeld-wen.com,,,"Exterior & Interior Doors, Wall Systems, Wood, Vinyl & Aluminum Windows, Shower Enclosures, Closet Systems, Moldings & Trim Board, Lumber and Glass, Staircases, Hardware and Locks, Cabinets, Molded Door Skins",
Kinross Gold,https://en.wikipedia.org/wiki/Kinross_Gold,Public,TSX: KNYSE: KGC,1993,"Toronto, Ontario",,,"Esteban Rodriguez Jr., CEO",,US$3.279 billion (2021)</ref=name>,US$464 million (2021),US$221 million (2021),,,,,www.kinross.com,Robert Buchan,,"Gold, Silver",
Koppers,https://en.wikipedia.org/wiki/Koppers,Public,NYSE: KOPS&P 600 Component,1912 (original company)1988 (re-established),"Koppers TowerPittsburgh, Pennsylvania",,,"Leroy M. Ball, President and Chief Executive Officer Jimmi Sue Smith, Chief Financial Officer James A. Sullivan, Executive Vice President and Chief Operating Officer Stephen R. Tritch, Chairman of the Board of Directors",,US$1.16 billion,,,,,"2,200",,www.koppers.com,,,Coke Wood processing Coal tar Crossties Utility poles Creosote Carbon black Phthalic anhydride,
Kronos Incorporated,https://en.wikipedia.org/wiki/Kronos_Incorporated,Private,Nasdaq: KRON,"October 31, 1977; 48 years ago (1977-10-31)","Lowell, Massachusetts, U.S.",,,Aron Ain (CEO),,$1.433 billion (2019),,,,,"6,000 (2019)",,www.kronos.com,Mark S. Ain,,,
Lithium Americas,https://en.wikipedia.org/wiki/Lithium_Americas,Public,NYSE: LACTSX: LAC,"October 3, 2023; 2 years ago (2023-10-03)","Vancouver, British Columbia, Canada",,,Kelvin Dushnisky (Chairman)Jonathan Evans (President and CEO)Pablo Mercado (CFO),,-$42.60 million (loss) (2024)-$3.90 million (loss) (2023)-$67.79 million (loss) (2022),,,"$1,044.9 million (2024)",,,,www.lithiumamericas.com,,,,
Louisiana-Pacific,https://en.wikipedia.org/wiki/Louisiana-Pacific,Public,NYSE: LPXS&P 400 Component,"1973 in Portland, Oregon","Nashville, Tennessee, USA",24 (2012),,Brad Southern (CEO),,US$2.828 billion (2018),US$526 million (2018),US$420 million (2018),US$2.514 billion (2018),US$1.700 billion (2018),"3,900",,lpcorp.com,,,Building materials,
Eldridge Industries,https://en.wikipedia.org/wiki/Eldridge_Industries,Private,,2015; 10 years ago (2015),"Miami, Florida, U.S.",,,,,,,,,,,Eldridge,eldridgeind.com,,,,
MP Materials,https://en.wikipedia.org/wiki/MP_Materials,Public,NYSE: MPS&P 400 component,2017; 8 years ago (2017),"Las Vegas, Nevada, U.S.",,Worldwide,James Litinsky(Executive Chairman & CEO)Michael Rosenthal(COO),,,,,,,681 (2024),,mpmaterials.com,James LitinskyMichael Rosenthal,,"Rare earth oxides, Rare-earth metals, and neodymium magnets",
Cheryl McEwen,https://en.wikipedia.org/wiki/Cheryl_McEwen,,,,,,,,,,,,,,,,,,,,
Newmont,https://en.wikipedia.org/wiki/Newmont,Public,NYSE: NEMS&P 500 componentTSX: NGTASX: NEM,1921; 104 years ago (1921),"Denver, Colorado, U.S.",,,Thomas R. Palmer (president and CEO)Gregory H. Boyce (chairman),,US$18.7 billion (2024),US$5.64 billion (2024),US$3.35 billion (2024),US$56.3 billion (2024),US$30.1 billion (2024),"22,200 (2024)",GoldcorpOroplata S.A.South Kalgoorlie Gold Mine,newmont.com,William Boyce Thompson,Newmont Mining CorporationNewmont Goldcorp Corporation,"Gold, copper, silver, zinc, lead",US6516391066
NL Industries,https://en.wikipedia.org/wiki/NL_Industries,Public,NYSE: NLRussell 2000 Index component,,"Houston, Texas, US",,,,,,,,,,,,nl-ind.com,,,,
OR Royalties,https://en.wikipedia.org/wiki/OR_Royalties,Public,TSX: ORNYSE: OR,"April 29, 2014","Montreal, Quebec, Canada",,,"Sean Roosen (CEO, 2014-present)",,,,,,,,,osiskogr.com/en/,,,Royalty payments,
Pan American Silver,https://en.wikipedia.org/wiki/Pan_American_Silver,Public,TSX: PAASNYSE: PAAS,1994,"Vancouver, Canada",,,"Michael Steinmann, CEO",,"US$1,631 million (2021)",,,,,"7,300",,panamericansilver.com,,,,
